benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,baseline,32,1,multistream,5,1, 119.06314057976526, 6.486012152642501, 7.431293396499999, 7.5795449298, 7.6467347359, 7.697424252649999, 7.78299684379, 7.906460346787003
resnet,baseline,32,1,multistream,5,2, 117.5806288847328, 6.608863922164501, 7.5482593179999995, 7.6889013712, 7.7478246725, 7.7997196066, 7.88453724121, 7.934145217729004
resnet,baseline,32,1,multistream,5,3, 119.06910391121521, 6.49962361592, 7.4610426005, 7.5911761453999995, 7.6435730533, 7.682776705099999, 7.768711536690001, 7.875807550230013
resnet,baseline,32,1,multistream,5,4, 119.52177123191191, 6.469762761528, 7.4392353945, 7.5622322456, 7.6242735868, 7.66547912115, 7.74641318491, 7.840155019435016
resnet,baseline,32,1,multistream,5,5, 120.90319916195538, 6.34671137924, 7.3415856005, 7.4786402294, 7.5370990342, 7.579249458, 7.654612940230001, 7.735080943656006
resnet,baseline,32,1,multistream,5,6, 119.94062402877012, 6.441727619998001, 7.3888041575, 7.5084165336, 7.5651258604, 7.6108273100499995, 7.696592099150001, 7.773303184226001
resnet,baseline,32,1,multistream,5,7, 120.72475830497858, 6.354257227223001, 7.3370098525, 7.4788758352, 7.5430825169, 7.5847109822, 7.67159853501, 7.744841980372007
resnet,baseline,32,1,multistream,5,8, 121.05077176164414, 6.3306238024185, 7.310531705500001, 7.4464034178, 7.5076639417, 7.5790254966, 7.667618734490001, 7.735700262583003
resnet,baseline,32,1,multistream,5,9, 120.96982887058401, 6.347183075446, 7.339300769499999, 7.4581449694, 7.5115166193, 7.5578842464, 7.630100724060001, 7.719369291778001
resnet,baseline,32,1,multistream,5,10, 120.45396181053904, 6.3690175889514995, 7.3627306125, 7.4945028076, 7.5681633151000005, 7.62985190515, 7.725624945310002, 7.822113267385014
