benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,baseline,32,1,server,1,1, 98.54141597767442, 31.28627607196335, 31.386861419, 49.5916611812, 55.9772725504, 58.9604508754, 61.499176570399996, 62.79768915749206
resnet,baseline,32,1,server,1,2, 98.55822093294289, 31.280674905058145, 31.432406418, 49.565783959200004, 55.9954582224, 58.9529034272, 61.40211830747998, 62.490799109864
resnet,baseline,32,1,server,1,3, 98.89698092750643, 30.980196489627406, 31.121905358, 49.2743856874, 55.5509963104, 58.52044295719999, 61.106423856919996, 62.881008871140004
resnet,baseline,32,1,server,1,4, 98.87798805909814, 31.035823099105542, 31.181655557, 49.222473454799996, 55.644677598600005, 58.6237231818, 61.044397973199985, 62.30322966659201
resnet,baseline,32,1,server,1,5, 98.70208767205432, 31.102388035640647, 31.165313182, 49.2653297876, 55.6744724964, 58.7019864142, 61.52769929172, 62.29198574730402
resnet,baseline,32,1,server,1,6, 98.96806545295283, 30.99006337446964, 31.147279984, 49.086513743400005, 55.533441355, 58.44530088659999, 60.843409225759984, 63.06693465270816
resnet,baseline,32,1,server,1,7, 98.87716265874097, 31.001378284592, 31.077566213, 49.191268419000004, 55.5390150024, 58.55819352599999, 60.99053192588, 62.21834902236402
resnet,baseline,32,1,server,1,8, 99.0809435047793, 30.877834953861974, 30.971903882, 49.011929015199996, 55.3387993698, 58.302231287599994, 60.737971895399994, 61.99330448091607
resnet,baseline,32,1,server,1,9, 99.24131453074664, 30.827850781591003, 30.953781633, 48.9131634676, 55.2792253112, 58.175061223, 60.60974337928, 61.663291324012
resnet,baseline,32,1,server,1,10, 99.32711132675557, 30.79112349881091, 30.951388007, 48.82590690540001, 55.1692981016, 58.052385727799994, 60.56027848339996, 61.606076563544015
