benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,baseline,32,1,offline,1,1, 99.6116326906864, 164.6898513673721, 164.6422848515, 263.3021577554, 296.1412160378, 312.5963542201, 325.74267567282, 328.70483644448103
resnet,baseline,32,1,offline,2,1, 111.8882046748609, 146.95943023766188, 147.055617431, 234.77177556760012, 263.894673978, 278.542244124, 290.18470883654, 292.727466884
resnet,baseline,32,1,offline,4,1, 124.16113679506908, 132.72963353386706, 132.820156877, 211.855607727, 238.090794943, 251.265350391, 261.7752151689199, 263.839412954
resnet,baseline,32,1,offline,8,1, 135.51615392808293, 122.1195548701814, 122.037627239, 194.566137209, 218.788524442, 230.882423156, 240.3498925433197, 241.742343725
resnet,baseline,32,1,offline,16,1, 139.58860217193578, 120.1617496058916, 119.9573781595, 190.14393367, 213.343248712, 225.162685272, 234.263197034, 234.654853338
resnet,baseline,32,1,offline,32,1, 143.51348011791669, 118.47930607668262, 118.41545674150001, 186.876239974, 210.168700194, 220.835801869, 228.091305601, 228.25838856
resnet,baseline,32,1,offline,1,2, 98.2522912994475, 166.8627006670468, 166.8127592615, 266.8363557434, 300.1885274836, 316.9035163230499, 330.2910372997199, 333.190044964443
resnet,baseline,32,1,offline,2,2, 112.25846213981842, 146.6357749901955, 146.83398965499998, 234.10533217040003, 263.099247108, 277.624829305, 289.23853099826, 291.779425478
resnet,baseline,32,1,offline,4,2, 124.66072989063012, 132.1456412902345, 132.15959796099997, 210.971782669, 237.171322407, 250.377342858, 260.80706189097987, 262.791380077
resnet,baseline,32,1,offline,8,2, 135.19384658397095, 122.58115114719996, 122.7234382525, 195.261672083, 219.426326658, 231.374778916, 241.08857959943995, 242.315195569
resnet,baseline,32,1,offline,16,2, 140.22402428855307, 119.06154672373731, 118.957821594, 189.223898246, 212.169505745, 224.185664903, 232.970205699, 233.615756389
resnet,baseline,32,1,offline,32,2, 143.8906633192848, 117.86844541507324, 118.03709599300001, 185.85994313, 208.363852503, 220.153807263, 227.454276931, 227.68038
resnet,baseline,32,1,offline,1,3, 99.50082838074819, 164.69631367109633, 164.3323954535, 263.9114491692, 296.6855022636, 313.0895064986, 326.1531383231, 329.03931270603914
resnet,baseline,32,1,offline,2,3, 113.0990139753082, 145.2079499853731, 145.1454163675, 232.16191484280003, 261.08937154, 275.521111642, 287.07379204417, 289.588726669
resnet,baseline,32,1,offline,4,3, 123.73014108867088, 132.7839810500044, 132.68016946199998, 212.15792926, 238.953590592, 252.195455105, 262.83499091940996, 264.767995606
resnet,baseline,32,1,offline,8,3, 135.392592061056, 122.28644466950828, 122.2184484695, 194.920713472, 218.990862153, 231.117949353, 240.70693001206982, 241.959274549
resnet,baseline,32,1,offline,16,3, 141.06317305922985, 118.15143643840382, 117.9885932315, 188.030734979, 211.179318983, 222.922395052, 231.73380318, 232.24557592
resnet,baseline,32,1,offline,32,3, 144.29988288994713, 117.36388166662012, 117.503364858, 185.692419615, 207.669972106, 219.781941878, 226.826534561, 227.025994657
resnet,baseline,32,1,offline,1,4, 98.87164933566807, 165.87944175247173, 165.8064188225, 265.051623639, 298.17809137119997, 314.94840054885003, 328.2273101225, 331.1716699021521
resnet,baseline,32,1,offline,2,4, 110.33719413426248, 148.15323077427996, 147.9193853665, 236.53468357900002, 266.713101035, 282.186271427, 294.31079288691, 296.841389773
resnet,baseline,32,1,offline,4,4, 121.7273256321697, 136.09008747185806, 136.64932713399998, 216.776933068, 243.235015092, 256.473616577, 267.08701366357997, 269.112009635
resnet,baseline,32,1,offline,8,4, 131.74735445674384, 124.87366645618627, 124.341306024, 200.115566236, 224.898551109, 237.379677509, 247.34762464902968, 248.639212491
resnet,baseline,32,1,offline,16,4, 142.48183603433895, 117.40016413158108, 117.2500208835, 186.274470679, 209.043395519, 220.363544706, 229.265457807, 229.921771916
resnet,baseline,32,1,offline,32,4, 145.075924673131, 116.94351785015431, 116.621972865, 185.551442399, 207.196717238, 218.31553515, 225.598085028, 225.815101566
resnet,baseline,32,1,offline,1,5, 98.44484389434821, 167.13964055359784, 167.071521748, 267.069141252, 300.0558763534, 316.4529017074, 329.62587546840996, 332.61644702464906
resnet,baseline,32,1,offline,2,5, 111.24732989259115, 148.01491775569593, 148.1241255915, 236.121147275, 265.481447646, 280.09437899, 291.87272945254, 294.405366119
resnet,baseline,32,1,offline,4,5, 122.76477956306148, 134.07118907211668, 133.778553391, 214.43673861, 240.995978181, 254.194756795, 264.83237316144, 266.841717699
resnet,baseline,32,1,offline,8,5, 131.8387434514836, 125.10669088434571, 124.827835436, 200.141973487, 224.927177286, 237.220040475, 247.16512523848988, 248.490356088
resnet,baseline,32,1,offline,16,5, 143.23945675939, 117.0098793232661, 117.1177307525, 185.56814618, 208.090330613, 219.532132351, 228.220676734, 228.71907587
resnet,baseline,32,1,offline,32,5, 144.69695596661862, 117.04849681935741, 117.6216568005, 184.883287189, 207.128072133, 219.050731313, 226.07021008, 226.409227963
resnet,baseline,32,1,offline,1,6, 98.18427662821328, 166.2158836301139, 165.62871922800002, 266.1780817646, 300.1520605924, 317.01619158274997, 330.48559621408, 333.48902517512903
resnet,baseline,32,1,offline,2,6, 110.04406426556953, 149.91095478577373, 149.979804168, 239.24986631300007, 268.551393207, 283.327687258, 295.13088558916, 297.663305708
resnet,baseline,32,1,offline,4,6, 123.174605900457, 134.20272585980808, 134.455781223, 213.87156996, 240.181767222, 253.402055757, 263.9860998931099, 265.97337816
