benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,baseline,32,1,singlestream,1,1, 20.537697561339716, 0.0486180770375, 0.047582374499999996, 0.0489822284, 0.050309499300000005, 0.05343533065, 0.08055635631000004, 0.10335475556800156
resnet,baseline,32,1,singlestream,1,2, 20.561433848025768, 0.0485620842796875, 0.0475312905, 0.0490693742, 0.0503158169, 0.05214538969999999, 0.08294129965000004, 0.09373755444900077
resnet,baseline,32,1,singlestream,1,3, 20.145580172210853, 0.0495628895796875, 0.0477455715, 0.0489692018, 0.050127342, 0.05227297764999999, 0.08291046377000004, 0.09595010624800114
resnet,baseline,32,1,singlestream,1,4, 20.546074836111778, 0.04859029215390625, 0.04772898, 0.0490840868, 0.05028786870000001, 0.052487962650000004, 0.08324129964000003, 0.09212011600500006
resnet,baseline,32,1,singlestream,1,5, 20.440339220192048, 0.048840681316406245, 0.047877404, 0.049259799, 0.0504222303, 0.0523541664, 0.0888102295, 0.09637822917800029
resnet,baseline,32,1,singlestream,1,6, 20.684970298448935, 0.04826579606875, 0.047295119, 0.0487203524, 0.050041934, 0.05203838179999999, 0.0840265914700001, 0.09091282355900009
resnet,baseline,32,1,singlestream,1,7, 20.682882059235045, 0.04827630517734375, 0.0473097025, 0.048746860200000006, 0.0500401004, 0.052199678699999995, 0.08539621688000001, 0.09271419062400005
resnet,baseline,32,1,singlestream,1,8, 20.839927498897712, 0.04790674692109375, 0.0469876485, 0.0483851014, 0.0494746152, 0.05094966555, 0.08774879411000001, 0.09473925181500127
resnet,baseline,32,1,singlestream,1,9, 20.76667789484443, 0.0480833438234375, 0.046940811, 0.0483745096, 0.0494195341, 0.0510130487, 0.08884467563000001, 0.09586126544400043
resnet,baseline,32,1,singlestream,1,10, 20.867054877105026, 0.047845878598437495, 0.046913775, 0.0483008632, 0.049348485500000004, 0.05113362245, 0.08836423644000001, 0.09418610806200073
