benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,cpumem,32,1,server,1,1, 104.74951821680968, 27.53490130428538, 27.453317679, 43.646692087800005, 49.534287968, 52.102422161599996, 54.238482181359984, 54.82422378014002
resnet,cpumem,32,1,server,1,2, 104.13740612767509, 27.759579246802247, 27.93214611, 43.980212796400004, 49.950340175, 52.67664005839998, 54.881123756159994, 55.55423664153201
resnet,cpumem,32,1,server,1,3, 104.33210318265836, 27.870756774234486, 27.934199423, 44.310215479200004, 50.028159555, 52.5840425026, 54.64699821147999, 55.22210183672801
resnet,cpumem,32,1,server,1,4, 104.26827946262813, 27.48448797233903, 27.389274498, 43.704984910400015, 49.7431600798, 52.409317064599996, 54.71174882424, 55.36528521830403
resnet,cpumem,32,1,server,1,5, 104.83815232625382, 27.443997102641898, 27.444787182, 43.5692452288, 49.4685787756, 51.981758950199996, 54.158874481, 54.81093843582404
resnet,cpumem,32,1,server,1,6, 104.91179255566772, 27.269846968901707, 27.216142003, 43.32160525940001, 49.25747753880001, 51.803448669599995, 53.97732951472, 54.67178953910403
resnet,cpumem,32,1,server,1,7, 104.64704804725964, 27.77291373264148, 27.935726489, 43.8362953842, 49.551742111, 52.237435289800004, 54.31074482976, 54.81577413268001
resnet,cpumem,32,1,server,1,8, 105.00380522543448, 27.506877446237066, 27.624016984, 43.6093815086, 49.3474430658, 51.831099918, 54.0153195172, 54.53341218756403
resnet,cpumem,32,1,server,1,9, 105.8204110425939, 26.981398815474805, 27.077184839, 42.7735433188, 48.5290558904, 50.934814342, 52.99401161219999, 53.695692214032
resnet,cpumem,32,1,server,1,10, 106.05362740246096, 26.82903524581291, 26.920648491, 42.56018800180001, 48.1883960702, 50.780905921, 52.76228505036, 53.312119832116004
resnet,cpumem,32,2,server,1,1, 153.71990032056306, 8.795734394420576, 8.746480402, 13.551841123600001, 15.1866516542, 16.7899387418, 17.85763512971999, 18.32314799073601
resnet,cpumem,32,2,server,1,2, 152.95097855390426, 9.547657533286381, 9.470385351, 14.500963469000002, 16.266298605600003, 17.2332142612, 18.3124898626, 18.66047556256002
resnet,cpumem,32,2,server,1,3, 153.3782253983601, 9.332640355539358, 9.319290718, 14.292489490600001, 16.0502798592, 17.021401317, 18.043638380159997, 18.445977876748003
resnet,cpumem,32,2,server,1,4, 153.3555684801365, 9.36792294155052, 9.326779606, 14.276526027000001, 16.043253711200002, 17.0735520158, 18.066344665319995, 18.493558351060006
resnet,cpumem,32,2,server,1,5, 153.23355111156607, 9.393134292113869, 9.397209073, 14.358111608200002, 16.1296725772, 17.077603139, 18.11959034072, 18.540921786352012
resnet,cpumem,32,2,server,1,6, 153.0634022475658, 9.508543754256394, 9.501160342, 14.477332675800001, 16.268900703, 17.2126567138, 18.26486042316, 18.582262088852005
resnet,cpumem,32,2,server,1,7, 153.3759524908846, 9.418944302781757, 9.327608834, 14.384265185, 16.195177555599997, 17.095556584999997, 18.085564043839994, 18.442460214096005
resnet,cpumem,32,2,server,1,8, 153.5758152933406, 9.29760131506689, 9.293815131, 14.157446457, 15.9528223994, 16.925277464799997, 17.988889798519992, 18.510864460272
resnet,cpumem,32,2,server,1,9, 153.9693270772505, 9.192678065328865, 9.228072091, 13.945994319599999, 15.7391791454, 16.736919854999996, 17.776996916959998, 18.12883932421602
resnet,cpumem,32,2,server,1,10, 153.30808831124122, 9.355847550652562, 9.320049419, 14.2725161482, 16.1084656996, 17.075097890400002, 18.07391363683999, 18.540593543040004
resnet,cpumem,32,4,server,1,1, 160.56053866811226, 7.489409718341524, 7.523541338, 11.397739773800001, 12.9734468154, 13.708368356, 14.46413397088, 14.968679179996002
