benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,cpumem,32,1,offline,1,1, 105.18551370431847, 155.8928866855291, 155.7878872795, 249.23878949280004, 280.30290275149997, 295.9613273749, 308.50426739049, 311.23640169641703
resnet,cpumem,32,1,offline,2,1, 120.17370138390497, 136.91889120382373, 137.30307784299998, 218.46517361040003, 245.823905783, 259.31020847, 270.20061586603, 272.547429096
resnet,cpumem,32,1,offline,4,1, 129.4184287036569, 127.210494131948, 127.229011592, 202.971744542, 228.314589968, 240.885895001, 251.22440863163996, 253.132228798
resnet,cpumem,32,1,offline,8,1, 140.89348374495637, 117.53113332542821, 117.625151375, 187.271751656, 210.279543338, 221.973561412, 231.27470843339995, 232.512378491
resnet,cpumem,32,1,offline,16,1, 142.17649817706803, 118.1152570214751, 118.39945908600001, 186.822298125, 209.831489366, 221.061223196, 229.752501076, 230.428360644
resnet,cpumem,32,1,offline,32,1, 142.40163079622502, 119.89060027271387, 120.25980856250001, 188.491422864, 210.962112073, 221.881381869, 229.860160971, 230.060623427
resnet,cpumem,32,1,offline,1,2, 104.64621882152991, 156.66767200999246, 156.817463396, 250.63727132000002, 281.8944219879, 297.55725852495, 310.0992228503, 312.8499953296621
resnet,cpumem,32,1,offline,2,2, 120.04061004760169, 136.90108270124452, 136.8484860685, 219.02826099900003, 246.165756842, 259.715712716, 270.48562133794996, 272.845071533
resnet,cpumem,32,1,offline,4,2, 129.3270455482812, 127.02098631295985, 127.0101905025, 202.733197899, 228.346970468, 240.99663672, 251.25156208470995, 253.33098814
resnet,cpumem,32,1,offline,8,2, 141.87161767588765, 116.50152194619484, 116.46292753, 185.561277272, 208.898692619, 220.409843426, 229.6035302227399, 230.912794948
resnet,cpumem,32,1,offline,16,2, 144.03940871095816, 115.87053117459034, 115.7667811735, 183.712972763, 206.772787078, 217.975440589, 226.765485394, 227.448842194
resnet,cpumem,32,1,offline,32,2, 145.85246471302023, 116.10592025598928, 116.323733878, 183.580087323, 205.506440347, 216.818138442, 224.358399413, 224.615575132
resnet,cpumem,32,1,offline,1,3, 103.20513889332305, 158.48927701886382, 158.308335787, 253.80107029360002, 285.6426633536, 301.66416602065, 314.39807382043, 317.227755964492
resnet,cpumem,32,1,offline,2,3, 116.3962203003761, 141.06324051889266, 140.9989326765, 225.2896827332, 253.400171162, 267.708638182, 278.93340762649996, 281.399536893
resnet,cpumem,32,1,offline,4,3,,,,,,,,
resnet,cpumem,32,1,offline,8,3,,,,,,,,
resnet,cpumem,32,1,offline,16,3,,,,,,,,
resnet,cpumem,32,1,offline,32,3,,,,,,,,
resnet,cpumem,32,1,offline,1,4,,,,,,,,
resnet,cpumem,32,1,offline,2,4,,,,,,,,
resnet,cpumem,32,1,offline,4,4,,,,,,,,
resnet,cpumem,32,1,offline,8,4,,,,,,,,
resnet,cpumem,32,1,offline,16,4,,,,,,,,
resnet,cpumem,32,1,offline,32,4,,,,,,,,
resnet,cpumem,32,1,offline,1,5,,,,,,,,
resnet,cpumem,32,1,offline,2,5,,,,,,,,
resnet,cpumem,32,1,offline,4,5,,,,,,,,
resnet,cpumem,32,1,offline,8,5,,,,,,,,
resnet,cpumem,32,1,offline,16,5,,,,,,,,
resnet,cpumem,32,1,offline,32,5,,,,,,,,
resnet,cpumem,32,1,offline,1,6,,,,,,,,
resnet,cpumem,32,1,offline,2,6,,,,,,,,
resnet,cpumem,32,1,offline,4,6,,,,,,,,
resnet,cpumem,32,1,offline,8,6,,,,,,,,
resnet,cpumem,32,1,offline,16,6,,,,,,,,
resnet,cpumem,32,1,offline,32,6,,,,,,,,
resnet,cpumem,32,1,offline,1,7,,,,,,,,
resnet,cpumem,32,1,offline,2,7,,,,,,,,
resnet,cpumem,32,1,offline,4,7,,,,,,,,
resnet,cpumem,32,1,offline,8,7,,,,,,,,
resnet,cpumem,32,1,offline,16,7,,,,,,,,
resnet,cpumem,32,1,offline,32,7,,,,,,,,
resnet,cpumem,32,1,offline,1,8,,,,,,,,
resnet,cpumem,32,1,offline,2,8,,,,,,,,
resnet,cpumem,32,1,offline,4,8,,,,,,,,
resnet,cpumem,32,1,offline,8,8,,,,,,,,
resnet,cpumem,32,1,offline,16,8,,,,,,,,
resnet,cpumem,32,1,offline,32,8,,,,,,,,
resnet,cpumem,32,1,offline,1,9,,,,,,,,
resnet,cpumem,32,1,offline,2,9,,,,,,,,
resnet,cpumem,32,1,offline,4,9,,,,,,,,
resnet,cpumem,32,1,offline,8,9,,,,,,,,
resnet,cpumem,32,1,offline,16,9,,,,,,,,
resnet,cpumem,32,1,offline,32,9,,,,,,,,
resnet,cpumem,32,1,offline,1,10,,,,,,,,
resnet,cpumem,32,1,offline,2,10,,,,,,,,
resnet,cpumem,32,1,offline,4,10,,,,,,,,
resnet,cpumem,32,1,offline,8,10,,,,,,,,
resnet,cpumem,32,1,offline,16,10,,,,,,,,
resnet,cpumem,32,1,offline,32,10,,,,,,,,
resnet,cpumem,32,2,offline,1,1,,,,,,,,
resnet,cpumem,32,2,offline,2,1,,,,,,,,
resnet,cpumem,32,2,offline,4,1,,,,,,,,
resnet,cpumem,32,2,offline,8,1,,,,,,,,
resnet,cpumem,32,2,offline,16,1,,,,,,,,
resnet,cpumem,32,2,offline,32,1,,,,,,,,
resnet,cpumem,32,2,offline,1,2,,,,,,,,
resnet,cpumem,32,2,offline,2,2,,,,,,,,
resnet,cpumem,32,2,offline,4,2,,,,,,,,
resnet,cpumem,32,2,offline,8,2,,,,,,,,
resnet,cpumem,32,2,offline,16,2,,,,,,,,
resnet,cpumem,32,2,offline,32,2,,,,,,,,
resnet,cpumem,32,2,offline,1,3,,,,,,,,
resnet,cpumem,32,2,offline,2,3,,,,,,,,
resnet,cpumem,32,2,offline,4,3,,,,,,,,
resnet,cpumem,32,2,offline,8,3,,,,,,,,
resnet,cpumem,32,2,offline,16,3,,,,,,,,
resnet,cpumem,32,2,offline,32,3,,,,,,,,
resnet,cpumem,32,2,offline,1,4,,,,,,,,
resnet,cpumem,32,2,offline,2,4,,,,,,,,
resnet,cpumem,32,2,offline,4,4,,,,,,,,
resnet,cpumem,32,2,offline,8,4,,,,,,,,
resnet,cpumem,32,2,offline,16,4,,,,,,,,
resnet,cpumem,32,2,offline,32,4,,,,,,,,
resnet,cpumem,32,2,offline,1,5,,,,,,,,
resnet,cpumem,32,2,offline,2,5,,,,,,,,
resnet,cpumem,32,2,offline,4,5,,,,,,,,
resnet,cpumem,32,2,offline,8,5,,,,,,,,
resnet,cpumem,32,2,offline,16,5,,,,,,,,
resnet,cpumem,32,2,offline,32,5,,,,,,,,
resnet,cpumem,32,2,offline,1,6,,,,,,,,
resnet,cpumem,32,2,offline,2,6,,,,,,,,
resnet,cpumem,32,2,offline,4,6,,,,,,,,
resnet,cpumem,32,2,offline,8,6,,,,,,,,
resnet,cpumem,32,2,offline,16,6,,,,,,,,
resnet,cpumem,32,2,offline,32,6,,,,,,,,
resnet,cpumem,32,2,offline,1,7,,,,,,,,
resnet,cpumem,32,2,offline,2,7,,,,,,,,
resnet,cpumem,32,2,offline,4,7,,,,,,,,
resnet,cpumem,32,2,offline,8,7,,,,,,,,
resnet,cpumem,32,2,offline,16,7,,,,,,,,
resnet,cpumem,32,2,offline,32,7,,,,,,,,
resnet,cpumem,32,2,offline,1,8,,,,,,,,
resnet,cpumem,32,2,offline,2,8,,,,,,,,
resnet,cpumem,32,2,offline,4,8,,,,,,,,
resnet,cpumem,32,2,offline,8,8,,,,,,,,
resnet,cpumem,32,2,offline,16,8,,,,,,,,
resnet,cpumem,32,2,offline,32,8,,,,,,,,
resnet,cpumem,32,2,offline,1,9,,,,,,,,
resnet,cpumem,32,2,offline,2,9,,,,,,,,
resnet,cpumem,32,2,offline,4,9,,,,,,,,
resnet,cpumem,32,2,offline,8,9,,,,,,,,
resnet,cpumem,32,2,offline,16,9,,,,,,,,
resnet,cpumem,32,2,offline,32,9,,,,,,,,
resnet,cpumem,32,2,offline,1,10,,,,,,,,
resnet,cpumem,32,2,offline,2,10,,,,,,,,
resnet,cpumem,32,2,offline,4,10,,,,,,,,
resnet,cpumem,32,2,offline,8,10,,,,,,,,
resnet,cpumem,32,2,offline,16,10,,,,,,,,
resnet,cpumem,32,2,offline,32,10,,,,,,,,
resnet,cpumem,32,4,offline,1,1,,,,,,,,
resnet,cpumem,32,4,offline,2,1,,,,,,,,
resnet,cpumem,32,4,offline,4,1,,,,,,,,
resnet,cpumem,32,4,offline,8,1,,,,,,,,
resnet,cpumem,32,4,offline,16,1,,,,,,,,
resnet,cpumem,32,4,offline,32,1,,,,,,,,
resnet,cpumem,32,4,offline,1,2,,,,,,,,
resnet,cpumem,32,4,offline,2,2,,,,,,,,
resnet,cpumem,32,4,offline,4,2,,,,,,,,
resnet,cpumem,32,4,offline,8,2,,,,,,,,
resnet,cpumem,32,4,offline,16,2,,,,,,,,
resnet,cpumem,32,4,offline,32,2,,,,,,,,
