benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,cpumemory,32,1,multistream,5,1, 129.62600450129372, 5.6122817723885, 6.723560579000001, 6.9607581572, 7.0597864911, 7.144275759399998, 7.414288426900001, 7.608999147067005
resnet,cpumemory,32,1,multistream,5,2, 128.42991097469854, 5.632457361736, 6.836872016499999, 7.0812181302, 7.192704043900001, 7.29525892275, 7.493123146490005, 8.045191154242024
resnet,cpumemory,32,1,multistream,5,3, 129.12814843422132, 5.600928435185, 6.7743674435, 6.9918336482, 7.0919312559, 7.1986042495, 7.41655509129, 7.864819802640001
resnet,cpumemory,32,1,multistream,5,4, 129.5930168602353, 5.5805690937815005, 6.695680222, 6.9546556158, 7.0544905484000004, 7.152995494599996, 7.395825082730003, 7.635643224983019
resnet,cpumemory,32,1,multistream,5,5, 129.5651448141876, 5.5899821635014995, 6.7350448565, 6.9360893108, 7.055642668700001, 7.1729746157999985, 7.368309056950001, 7.520260949376037
resnet,cpumemory,32,1,multistream,5,6, 128.75008910785078, 5.651441560235, 6.8220290055, 7.020462707600001, 7.1134318658, 7.222929380849996, 7.454855908550011, 7.792864521344036
resnet,cpumemory,32,1,multistream,5,7, 129.3024602729876, 5.651374260208, 6.741811695, 6.9486887042, 7.0554955474000005, 7.141062907449999, 7.39382651374, 7.779724441682022
resnet,cpumemory,32,1,multistream,5,8, 129.82120434010167, 5.5977432761705, 6.6957741405, 6.903026431400001, 7.0121978868, 7.1197167720999985, 7.395218595860001, 7.683449528406018
resnet,cpumemory,32,1,multistream,5,9, 130.0637155930394, 5.5493675779335, 6.7109887675, 6.9526936812, 7.049352370000001, 7.150477306399999, 7.3852277747300015, 7.77479646905
resnet,cpumemory,32,1,multistream,5,10, 129.35789590384542, 5.584469086297, 6.7309032835, 6.9886075988, 7.07826118, 7.18712417525, 7.453064883910003, 7.910482818030019
resnet,cpumemory,32,2,multistream,6,1, 176.44623454013674, 3.360314268314, 3.308153381, 4.999668655400009, 5.4959506806, 5.7355878934499955, 5.92553920174, 6.1196354912310795
resnet,cpumemory,32,2,multistream,6,2, 177.34751657336324, 3.1237547752449997, 3.1008973104999997, 4.6394426546000025, 5.1609020909000005, 5.380508135749996, 5.593871626450001, 5.801594879541354
resnet,cpumemory,32,2,multistream,6,3, 177.40445242257022, 3.0589002630395, 3.049841426, 4.5454865944000025, 5.111678315400001, 5.395118778349998, 5.63785798646, 5.869599470583191
resnet,cpumemory,32,2,multistream,6,4, 177.50465440723224, 3.034242487975, 3.0169598325, 4.526735389600003, 5.081850295000001, 5.3076197995499985, 5.507956593590001, 5.6778207709260125
resnet,cpumemory,32,2,multistream,6,5, 176.62995748621387, 3.2581814900825, 3.276973302, 4.882692874600004, 5.3892051664, 5.625827600099998, 5.843093691320001, 6.231851171588051
resnet,cpumemory,32,2,multistream,6,6, 178.65105780573467, 2.922028408266, 2.966398693, 4.2644985684000005, 4.707879840000002, 4.909247897999998, 5.1428955554800035, 5.4909853932380175
resnet,cpumemory,32,2,multistream,6,7, 177.82442288201264, 2.9780857517465, 2.9117500375, 4.477644890200002, 4.955415844300002, 5.207795407349999, 5.42946433457, 5.619041413761002
resnet,cpumemory,32,2,multistream,6,8, 177.1888689365586, 3.1624463839219996, 3.1844370924999996, 4.717801601400002, 5.2316453926, 5.459831137499998, 5.68422862377, 6.003690824011065
resnet,cpumemory,32,2,multistream,6,9, 177.80541492423006, 3.0408503659110004, 3.0383005905, 4.542813614000001, 5.001736243, 5.2226558888999985, 5.459546648380001, 5.647954927192055
resnet,cpumemory,32,2,multistream,6,10, 177.90463737879134, 2.9666820839495, 2.9744040160000003, 4.4110792888000026, 4.913645474600001, 5.165580907299998, 5.387596883360003, 5.608923707137014
resnet,cpumemory,32,4,multistream,6,1, 174.61256897482355, 3.1227831339285004, 3.0793443755, 4.410206429200003, 4.868652523500001, 5.5535154507999955, 6.887632227010003, 8.262173419829198
resnet,cpumemory,32,4,multistream,6,2, 177.01028736529736, 3.0522930515555005, 3.0326883975000003, 4.3749711476, 4.880076023000003, 5.370481816499997, 6.384258081620002, 7.126705283877782
resnet,cpumemory,32,4,multistream,6,3, 176.62670580569466, 2.9091393608774996, 2.9151790855, 4.0283315042000005, 4.537926338899999, 5.050825964199999, 6.322924709860014, 7.18158383439118
resnet,cpumemory,32,4,multistream,6,4, 175.78366273611363, 3.120260220056, 3.1816768140000002, 4.385348121200001, 4.8712969822000005, 5.224613867649997, 6.428596787160047, 7.813318510744083
resnet,cpumemory,32,4,multistream,6,5, 175.77531496984847, 2.9664358582715002, 2.8946923289999997, 4.3355266550000024, 4.9236117564000015, 5.2607976245499986, 6.378274985220001, 7.538540106249324
resnet,cpumemory,32,4,multistream,6,6, 176.56107052547517, 2.9799533503255002, 2.9528552085, 4.313929868800001, 4.789215470400001, 5.068221427649997, 6.254323307120007, 7.3045959638712805
resnet,cpumemory,32,4,multistream,6,7, 177.08897445841004, 2.758408434761, 2.753787075, 3.864725463200001, 4.3551173905, 4.774961808949996, 5.960715365520005, 7.931535620494374
resnet,cpumemory,32,4,multistream,6,8, 176.92499667314212, 2.8221528653605, 2.844050258, 3.9922371092000017, 4.484954774900002, 4.938453168849996, 6.140978834220025, 7.086046311069675
resnet,cpumemory,32,4,multistream,6,9, 175.841436171322, 2.9847608364525002, 2.926551355, 4.2783404438, 4.797843258800001, 5.300610461049975, 6.455746350440004, 8.459512401897204
resnet,cpumemory,32,4,multistream,6,10, 176.89174492165543, 2.9937523414625, 3.0128504075, 4.2579702594, 4.7001443731000005, 5.158835201999999, 6.300726625880001, 7.5989083098926145
resnet,cpumemory,32,8,multistream,6,1, 179.23564465376862, 2.7445579074185003, 2.7521281555000003, 3.8426393244000008, 4.1873070092, 4.401229195749999, 4.98138408046, 5.438237986457399
resnet,cpumemory,32,8,multistream,6,2, 178.3891097670085, 2.7423037302604993, 2.6385115435, 4.030298532200001, 4.398303587700002, 4.623938251599999, 5.434816222240001, 5.908139209430636
resnet,cpumemory,32,8,multistream,6,3, 177.92785493270708, 2.6724183846014995, 2.61798771, 3.8367148418000006, 4.2734199656, 4.508462007399995, 5.200416325570009, 5.918621605230112
resnet,cpumemory,32,8,multistream,6,4, 178.631125264533, 2.6292025745675, 2.5852129935, 3.7499016710000004, 4.139367345200005, 4.376060280899996, 5.108321977610003, 6.2639473368390615
resnet,cpumemory,32,8,multistream,6,5, 177.74081649486993, 2.855956085638, 2.9342787925, 4.020990197200001, 4.4272464635, 4.736898747199998, 5.3823081875500005, 6.368839479943204
