benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,cpumemory,32,1,server,1,1, 103.70153541279113, 28.080731169317957, 28.059576798, 44.5018994534, 50.4973589772, 53.1839279432, 55.311086348159996, 55.879332521652024
resnet,cpumemory,32,1,server,1,2, 104.13126684889635, 27.868567672167185, 27.861300208, 44.27390873460001, 50.1837045098, 52.6909292942, 54.88878010007999, 55.36703990869201
resnet,cpumemory,32,1,server,1,3, 105.21790031608008, 27.46750545439767, 27.66013933, 43.468005844400004, 49.1795668198, 51.6420739584, 53.757538705319995, 54.371782841624004
resnet,cpumemory,32,1,server,1,4, 105.50158346705095, 27.035857871467304, 27.089964924, 42.971083273000005, 48.76866040900001, 51.227199534600004, 53.37899609415999, 54.04722003374005
resnet,cpumemory,32,1,server,1,5, 105.0248563485929, 27.506629999667137, 27.691003089, 43.666077642, 49.372164672, 51.7984041312, 53.91587429296, 54.62485403070802
resnet,cpumemory,32,1,server,1,6, 106.39267683400799, 26.64619854976535, 26.719395291, 42.2535084262, 47.907226805200004, 50.380254582599996, 52.447588720759995, 53.04101278825606
resnet,cpumemory,32,1,server,1,7, 105.61303694511136, 27.069480854006663, 27.130256558, 43.062595201000015, 48.785680418, 51.163121961399995, 53.315059941680005, 53.84699978098
resnet,cpumemory,32,1,server,1,8, 105.80067398268037, 27.063149421586754, 27.18497764, 42.87248814, 48.449184174200006, 50.9266463838, 53.13060041716, 53.661246960776005
resnet,cpumemory,32,1,server,1,9, 106.47759338866867, 26.69821525124048, 26.801528302, 42.341397165000004, 47.8688402108, 50.4098951024, 52.41306251327999, 53.024156117348
resnet,cpumemory,32,1,server,1,10, 106.52767554303371, 26.55076299726031, 26.662175156, 42.0844750296, 47.69870252020001, 50.30533809299999, 52.3556241196, 52.8234934959
resnet,cpumemory,32,2,server,1,1, 154.23888392411192, 8.710165696148438, 8.687321256, 13.435301433800001, 15.122750624200002, 16.5055399256, 17.717390092439995, 18.11809198208
resnet,cpumemory,32,2,server,1,2, 154.5411791853308, 9.016550028135361, 9.042660029, 13.751962215, 15.6014097226, 16.517777717399998, 17.46135157932, 17.860178969796006
resnet,cpumemory,32,2,server,1,3, 153.73696547426613, 9.33659225596085, 9.293820858, 14.190513476800001, 15.9958559346, 16.9117223426, 17.877664151919994, 18.490483281588002
resnet,cpumemory,32,2,server,1,4, 153.5711585298657, 9.4413825955187, 9.412185354, 14.371527328800001, 16.1218239584, 16.9639184268, 18.02460969632, 18.370145649452006
resnet,cpumemory,32,2,server,1,5, 154.07256689449167, 9.131613103743273, 9.07079499, 14.039766788000001, 15.791707156600001, 16.688390752399997, 17.67639880868, 18.251329087196005
resnet,cpumemory,32,2,server,1,6, 153.46655933283196, 9.476509570427321, 9.454598058, 14.379345201400001, 16.0766455146, 16.9956242592, 18.096624928519997, 18.499337634824002
resnet,cpumemory,32,2,server,1,7, 151.8733117810728, 9.307780599701792, 9.294190502, 14.1271938924, 15.866853948600005, 16.868847127800002, 17.908819907439995, 18.265847976072003
resnet,cpumemory,32,2,server,1,8, 153.78251362421574, 9.41254147217776, 9.375814483, 14.223479967800001, 15.9506688836, 16.8885992324, 17.96788734132, 18.378604405224007
resnet,cpumemory,32,2,server,1,9, 153.99977383549486, 9.223018756333278, 9.216129014, 14.044699974600002, 15.7870854452, 16.7222271378, 17.75742258184, 18.165427437052003
resnet,cpumemory,32,2,server,1,10, 154.45930894543125, 9.080249002871552, 9.179652213, 13.7870452982, 15.585377945200001, 16.4931766644, 17.5719575294, 17.948142177048
resnet,cpumemory,32,4,server,1,1, 160.7244215602366, 7.502636446775677, 7.56421482, 11.427415763800001, 12.8841923568, 13.7603483872, 14.50371627508, 14.80304802613601
resnet,cpumemory,32,4,server,1,2, 160.5871528847683, 7.705970345025988, 7.76624354, 11.569073796, 13.024230453, 13.723966167199999, 14.577798591159999, 14.914276636692
resnet,cpumemory,32,4,server,1,3, 160.80778936551687, 7.658650739591588, 7.731935119, 11.557374690800001, 12.9630793572, 13.671075330799999, 14.457130444479999, 14.926934087744012
resnet,cpumemory,32,4,server,1,4, 160.35198738926368, 7.757396101898376, 7.812157474, 11.619545509400002, 13.0560359428, 13.797107348399999, 14.611350497, 14.980535324096001
resnet,cpumemory,32,4,server,1,5, 160.50846896647963, 7.7480428827332775, 7.801052592, 11.685129383800001, 13.083830268600002, 13.770752438199999, 14.568393893039998, 14.908192677112002
resnet,cpumemory,32,4,server,1,6, 160.4679518319837, 7.7788262060516455, 7.863176904, 11.672752134800001, 13.102987218800001, 13.8601446534, 14.670260271959998, 15.124745866492015
resnet,cpumemory,32,4,server,1,7, 160.38723689161753, 7.828271691722448, 7.911243913, 11.771510068, 13.1711893162, 13.8796521646, 14.722967909799998, 15.095372750988021
resnet,cpumemory,32,4,server,1,8, 160.13973864900487, 7.828907975972761, 7.899683339, 11.763018852, 13.1502664298, 13.8740821548, 14.754034976519998, 15.113745245948003
resnet,cpumemory,32,4,server,1,9, 160.37114685804852, 7.810888390667138, 7.863007592, 11.720005161000001, 13.2182511392, 13.957416211999998, 14.737796549399999, 15.102068821608002
resnet,cpumemory,32,4,server,1,10, 160.22025763267177, 7.876794254580842, 7.95127781, 11.739790811, 13.207261215, 13.9751238332, 14.73390152116, 15.02477644697601
resnet,cpumemory,32,8,server,1,1, 160.6547793717462, 7.398996974645898, 7.447879944, 11.208104259, 12.524288123600002, 13.375486539399999, 14.36628931272, 14.913114605076004
resnet,cpumemory,32,8,server,1,2, 159.34517029455859, 7.8013577512965435, 7.860181984, 11.574651143800002, 13.0182868226, 13.7810904148, 14.809971467559999, 15.535634691804013
resnet,cpumemory,32,8,server,1,3, 160.3700216266276, 7.3709060726503965, 7.391887246, 11.144404455400002, 12.5111890812, 13.2359309464, 14.355054160159987, 14.997382576664
resnet,cpumemory,32,8,server,1,4, 159.85931689651267, 7.488165306337693, 7.492174009, 11.1071579738, 12.551436827, 13.1508692342, 14.58944134052, 15.271884395684
resnet,cpumemory,32,8,server,1,5, 160.74785448453972, 7.246715995591254, 7.229095029, 10.9964977854, 12.3240734, 12.9388831828, 14.225435674319993, 14.827347012584028
resnet,cpumemory,32,8,server,1,6, 160.5815880255931, 7.294038032918866, 7.316587786, 11.050260316000001, 12.336912769800001, 13.0420795208, 14.25965132076, 15.00736029466
