benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,cpumemory,32,1,singlestream,1,1, 20.27386961624591, 0.04924623745234375, 0.04809147, 0.0495922684, 0.050967778000000005, 0.054182273999999996, 0.0853134867, 0.0957754076920006
resnet,cpumemory,32,1,singlestream,1,2, 20.442540672484004, 0.048838646934375, 0.047820800999999996, 0.0493815202, 0.050844058700000014, 0.05417084455, 0.07519825913000001, 0.08189889255100026
resnet,cpumemory,32,1,singlestream,1,3, 20.395046288835555, 0.048951725421875, 0.047901814, 0.0494234838, 0.05092740120000003, 0.05441266114999999, 0.08170153456000001, 0.08606760749100026
resnet,cpumemory,32,1,singlestream,1,4, 20.368847804221677, 0.04901610293203125, 0.047934558, 0.049575316, 0.0509487629, 0.056026886249999984, 0.08144074481000003, 0.09129693645300123
resnet,cpumemory,32,1,singlestream,1,5, 20.555242062728343, 0.048572463805468744, 0.0476095755, 0.049090717799999996, 0.050185984, 0.05231105354999999, 0.08229800423, 0.09175991366500019
resnet,cpumemory,32,1,singlestream,1,6, 20.416323444819902, 0.04890282268828125, 0.047885081, 0.0494435322, 0.0507544945, 0.05283152124999999, 0.08805737969, 0.09178388471200005
resnet,cpumemory,32,1,singlestream,1,7, 20.483176430085127, 0.048746319990624995, 0.0475882325, 0.049216544599999995, 0.050793577, 0.0534156013, 0.08297092969000003, 0.09161504366200031
resnet,cpumemory,32,1,singlestream,1,8, 20.471921078843966, 0.048775375585937496, 0.0477405125, 0.0492912766, 0.0507077356, 0.0525714002, 0.08604421560000002, 0.09139207351
resnet,cpumemory,32,1,singlestream,1,9, 20.435474669170794, 0.04885593221484375, 0.047792100500000004, 0.0494407912, 0.050766902200000005, 0.05262248935, 0.08817897375, 0.10012243081100265
resnet,cpumemory,32,1,singlestream,1,10, 20.31900853549811, 0.04914070812890625, 0.047998, 0.049709188, 0.050918523, 0.052815040349999995, 0.08776442240000004, 0.0944565006400005
resnet,cpumemory,32,2,singlestream,1,1, 21.532527028126413, 0.04636758336862442, 0.0460843425, 0.047489288, 0.0484684386, 0.04931525145, 0.053062425799999986, 0.06844497192200026
resnet,cpumemory,32,2,singlestream,1,2, 21.663347229850466, 0.046084766953149, 0.045957482, 0.0473109296, 0.0479579373, 0.0485309194, 0.04975290893, 0.06491142722600005
resnet,cpumemory,32,2,singlestream,1,3, 21.653592948803887, 0.04610790889546503, 0.046018401, 0.047361739, 0.048007316, 0.048540292, 0.049264207, 0.061259792700000495
resnet,cpumemory,32,2,singlestream,1,4, 21.578190065012798, 0.046263492446414804, 0.046090532, 0.0474230266, 0.048011665200000005, 0.0486616124, 0.05043598152, 0.06535669988800195
resnet,cpumemory,32,2,singlestream,1,5, 21.62916825421593, 0.04615548620153846, 0.046001914, 0.04732004, 0.048147519699999995, 0.04871409915, 0.05000839264, 0.060583709562002756
resnet,cpumemory,32,2,singlestream,1,6, 21.627070185647852, 0.04616002563153846, 0.045998485500000005, 0.04726993, 0.048112312, 0.0487295294, 0.050070684979999995, 0.06397292376600192
resnet,cpumemory,32,2,singlestream,1,7, 21.61779813771294, 0.04618285580369515, 0.046040042, 0.0474155638, 0.048140864, 0.048692884, 0.049985063399999995, 0.053347368184000675
resnet,cpumemory,32,2,singlestream,1,8, 21.637237805551997, 0.04614252585153846, 0.0459922725, 0.047349711999999995, 0.048032952, 0.0485504309, 0.050165382239999994, 0.06760845387600142
resnet,cpumemory,32,2,singlestream,1,9, 21.625874633362553, 0.046160539533846155, 0.046013413, 0.047321825000000005, 0.048016629000000005, 0.0485394506, 0.04972786064, 0.06368920874700079
resnet,cpumemory,32,2,singlestream,1,10, 21.583983233766716, 0.04624646267950693, 0.046087381999999996, 0.047403855, 0.0481416017, 0.048665212400000005, 0.05040341387, 0.06828907831900004
resnet,cpumemory,32,4,singlestream,1,1, 16.87663202007224, 0.059174554841406254, 0.059075672499999995, 0.0613753438, 0.0621568065, 0.0630560892, 0.06961931197000001, 0.07330849442200016
resnet,cpumemory,32,4,singlestream,1,2, 16.965266757139087, 0.058862689844531246, 0.058851892, 0.061011421, 0.0617381532, 0.062348873549999996, 0.06398923223, 0.06926518791500012
resnet,cpumemory,32,4,singlestream,1,3, 16.966198026186714, 0.05886703460703124, 0.05887477, 0.0610934766, 0.061782070300000005, 0.06230973425, 0.06443719465, 0.0688641993190001
resnet,cpumemory,32,4,singlestream,1,4, 16.961495332138828, 0.058875592656249996, 0.0588949805, 0.0611356682, 0.061882868699999996, 0.0623874027, 0.06332495558000001, 0.0680679329820007
resnet,cpumemory,32,4,singlestream,1,5, 16.941472790630996, 0.05894671438203125, 0.058853477, 0.061021503399999996, 0.0617096208, 0.0622816161, 0.06466757668, 0.07294839778800098
resnet,cpumemory,32,4,singlestream,1,6, 16.940873306578197, 0.058953452985937495, 0.058897029000000004, 0.0611292306, 0.0619272351, 0.06242667645, 0.0635789303, 0.07218324831600054
resnet,cpumemory,32,4,singlestream,1,7, 16.922308401052764, 0.059016517465624994, 0.0590245385, 0.061272771, 0.0619798479, 0.06256519910000001, 0.06367775171000001, 0.067732778201
resnet,cpumemory,32,4,singlestream,1,8, 16.966834532604416, 0.058861511168750005, 0.0589528455, 0.0610702776, 0.0617983214, 0.06221819275, 0.06339891091000001, 0.06759184285800007
resnet,cpumemory,32,4,singlestream,1,9, 16.934616860314623, 0.058975036969531255, 0.0588634715, 0.0611860802, 0.0618451214, 0.06243768055, 0.06458585962, 0.07112713528700036
resnet,cpumemory,32,4,singlestream,1,10, 16.92119586455337, 0.05902518814375, 0.058969617, 0.0611568356, 0.0619436385, 0.06241399535, 0.06370508664, 0.07301326239300036
resnet,cpumemory,32,8,singlestream,1,1, 11.610350926764244, 0.08605131019375001, 0.085971501, 0.0887717946, 0.09013317559999999, 0.09185497015, 0.09584926487999999, 0.10058455613300013
resnet,cpumemory,32,8,singlestream,1,2, 11.610270429461977, 0.0860537534828125, 0.086010912, 0.088820012, 0.09013252610000001, 0.09125076280000001, 0.09423774646000002, 0.09851838645500001
resnet,cpumemory,32,8,singlestream,1,3, 11.624823659149447, 0.08594770444453124, 0.0859135435, 0.0886526976, 0.08985870730000001, 0.0910688642, 0.09322449513, 0.09937818060500019
resnet,cpumemory,32,8,singlestream,1,4, 11.623590982984789, 0.085958431015625, 0.085959833, 0.08870272679999999, 0.0900484498, 0.0911315143, 0.09315707527, 0.09569697846700004
resnet,cpumemory,32,8,singlestream,1,5, 11.612593172397316, 0.08603342071015625, 0.08599317549999999, 0.088680144, 0.090029511, 0.09131791189999999, 0.09317770397, 0.09860117105400018
