benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,none,32,1,multistream,5,1, 130.4348915872601, 5.564377353077, 6.6478002775, 6.893196166, 6.991670438800001, 7.0806880617, 7.341526199140002, 7.728528067960011
resnet,none,32,1,multistream,5,2, 129.45299930057237, 5.584716393751001, 6.7468612745000005, 6.9653200027999995, 7.078333339099999, 7.186332424949998, 7.4383761692800014, 7.767222561712012
resnet,none,32,1,multistream,5,3, 129.98989908506636, 5.5701348884975, 6.69185321, 6.9018133446, 7.0129675881, 7.118773729149998, 7.389532033580002, 7.585419957630018
resnet,none,32,1,multistream,5,4, 130.20468179430068, 5.558827628771, 6.6753438565, 6.910723265600001, 7.0171720823, 7.10964404855, 7.365614348720003, 7.695118866581004
resnet,none,32,1,multistream,5,5, 129.664127167238, 5.5692297133975, 6.711717096, 6.9436023561999995, 7.0399866159, 7.147759176799999, 7.408979274590004, 7.756734087914016
resnet,none,32,1,multistream,5,6, 128.77365228068857, 5.637265537971, 6.779272023, 7.031604331400001, 7.1604484034, 7.255601207949997, 7.475467763720003, 7.857619815383001
resnet,none,32,1,multistream,5,7, 129.06140321720665, 5.657258559461, 6.70953683, 6.929413729599999, 7.0361859196, 7.14167619285, 7.343675717830005, 7.665755705980046
resnet,none,32,1,multistream,5,8, 127.90253754818556, 5.727220397305501, 6.8490715095, 7.0776503066, 7.178464193600001, 7.291505625349999, 7.621064728, 7.997598474374005
resnet,none,32,1,multistream,5,9, 129.02717491272364, 5.656596859926, 6.701223772500001, 6.952715042, 7.0401939802, 7.128332058899998, 7.376086185040001, 8.00332088347002
resnet,none,32,1,multistream,5,10, 128.70508927600994, 5.6332802312825, 6.760445945, 6.9749892650000005, 7.1218803247, 7.338442098199996, 7.731545996040002, 7.963910319882002
resnet,none,32,2,multistream,6,1, 160.55894195804376, 5.784881425701, 6.214350252499999, 6.455620704000001, 6.6596155245, 6.8203855521, 7.09094435054, 7.270516346941152
resnet,none,32,2,multistream,6,2, 171.85608440300172, 4.132497543718, 4.3637037665000005, 6.082722395400001, 6.201554278100001, 6.296303394749996, 6.522782415140006, 6.958792100396012
resnet,none,32,2,multistream,6,3, 171.6449255231545, 4.142453281703, 4.4093440925, 6.085619263, 6.203896895500001, 6.29930214305, 6.53789808733, 6.8672527361690285
resnet,none,32,2,multistream,6,4, 170.8733083464057, 4.1813093606919995, 4.3550736945, 6.1637660468, 6.3009887438, 6.39307587015, 6.577743122799999, 6.899884187503062
resnet,none,32,2,multistream,6,5, 172.18851061219868, 3.984975746827, 4.022433758, 6.065337165600001, 6.1920038528, 6.305047838749998, 6.542284293360001, 6.717552619658002
resnet,none,32,2,multistream,6,6, 171.68021751024668, 4.033509319218001, 4.219684881, 6.082102279800001, 6.2141345201, 6.3104708091999955, 6.52420671979, 7.07763092651243
resnet,none,32,2,multistream,6,7, 170.93037849881847, 4.212647566629499, 4.506135177, 6.1189418674, 6.2390243688, 6.343777499099999, 6.631093000730001, 7.0080613230190485
resnet,none,32,2,multistream,6,8, 171.22197866573242, 4.123930132142999, 4.293963677, 6.1064410562, 6.2414129242000005, 6.380519553299999, 6.652594119210002, 7.2312551377390175
resnet,none,32,2,multistream,6,9, 170.35165254696946, 4.202346521716, 4.5085874189999995, 6.1532385212000005, 6.2992784228000005, 6.453421916749996, 6.841281802120003, 7.378211902146142
resnet,none,32,2,multistream,6,10, 171.24211489138168, 4.1015308440044995, 4.2359806695, 6.137322726400001, 6.300594908600001, 6.40422285315, 6.62662770824, 7.018686466402097
resnet,none,32,4,multistream,6,1, 164.64110976865598, 5.552382037566999, 6.019974209000001, 6.366608420000001, 6.5871092641, 6.793991466499997, 7.388647361580006, 8.232011192141297
resnet,none,32,4,multistream,6,2, 170.61127955490252, 4.057976395869, 4.18191128, 5.984017760400001, 6.296701323100003, 6.612900352249998, 7.041335421510002, 8.494712769690063
resnet,none,32,4,multistream,6,3, 171.47034202917172, 4.0572645585605, 4.171201588, 6.020377776400003, 6.262018885600001, 6.378197212049999, 6.685267265190004, 7.045325853894253
resnet,none,32,4,multistream,6,4, 171.71784396524427, 3.9608502381480006, 3.9984988325, 5.8399419646, 6.270665994000001, 6.4777457101, 6.8658919079900045, 7.3829482803406155
resnet,none,32,4,multistream,6,5, 171.65360680592008, 3.9970307816240003, 4.1087978385, 5.920439559000001, 6.2095581785, 6.3836785239999925, 6.8986698027400015, 7.541376282940267
resnet,none,32,4,multistream,6,6, 170.19005119188344, 4.152874775840499, 4.3525365395, 6.066865135000001, 6.284279543000001, 6.4351877093999965, 6.855464513980003, 7.88260101872429
resnet,none,32,4,multistream,6,7, 171.18427690465998, 4.1162639666535, 4.3004931365, 6.044731314000001, 6.292413989300001, 6.483991686699998, 6.939409542710005, 7.313007813116014
