benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,none,32,1,server,1,1, 105.66927581070262, 27.15768541115785, 27.273029339, 42.905729830400006, 48.5409847378, 51.1136496578, 53.164784526759995, 53.835172498608
resnet,none,32,1,server,1,2, 104.7914310417257, 27.599204866429154, 27.739670549, 43.6892882796, 49.5164222148, 52.0383680008, 54.140146274319996, 54.761401931124006
resnet,none,32,1,server,1,3, 104.65581152139268, 27.644231927165848, 27.747821462, 43.907961960600005, 49.6231090738, 52.2317035018, 54.285262299239996, 54.94599616788402
resnet,none,32,1,server,1,4, 105.52355471487219, 26.97225158239517, 26.952162111, 42.8475284084, 48.5355256188, 51.15803452299999, 53.4007739884, 53.880830958084005
resnet,none,32,1,server,1,5, 103.83735088770635, 28.026395625515953, 28.019635853, 44.603627539600005, 50.4519263118, 53.0991620682, 55.17963290524, 55.808864998512014
resnet,none,32,1,server,1,6, 105.0943037997748, 27.563022911983342, 27.679214302, 43.6288320454, 49.2435045078, 51.8312727106, 54.13200281652, 54.69308021831602
resnet,none,32,1,server,1,7, 105.56445227392597, 27.005258733719284, 27.015073002, 42.946554846000005, 48.667435583999996, 51.2088890092, 53.330299614439994, 53.851770437932025
resnet,none,32,1,server,1,8, 104.87085212031968, 27.123108169540608, 27.094866869, 42.96402401420001, 49.143641516799995, 51.88333689419999, 54.03851731435999, 54.59218457382401
resnet,none,32,1,server,1,9, 105.44607959432541, 27.153669588218662, 27.238127006, 43.11687707120001, 48.7379937528, 51.3356240786, 53.452707243039995, 54.03166280113602
resnet,none,32,1,server,1,10, 104.4187920946167, 27.638075031808828, 27.600011965, 43.785428667, 50.0104237364, 52.5151278948, 54.54540669788, 55.22875557066401
resnet,none,32,2,server,1,1, 141.2113597565931, 13.275820578260056, 13.382097202, 19.652290925200006, 21.8261930028, 23.1608164198, 24.566025904359996, 25.05913839249201
resnet,none,32,2,server,1,2, 144.6699523300961, 12.017888734038486, 12.147211541, 18.352225734000008, 20.7347048784, 21.606354541599995, 22.643783650999993, 23.176968153568023
resnet,none,32,2,server,1,3, 144.4907124752757, 11.839881358212162, 11.850403372, 18.1691727412, 20.735877945000002, 21.6800933028, 22.682604729039998, 23.129968296
resnet,none,32,2,server,1,4, 144.6596747056153, 11.88724633551162, 11.94798295, 18.158242606399998, 20.5349166826, 21.516022113200002, 22.578550533639998, 23.12488189135203
resnet,none,32,2,server,1,5, 144.33793603590792, 11.928946567611243, 11.949623387, 18.281780368600003, 20.7602449612, 21.7322872558, 22.79689920772, 23.307316867540003
resnet,none,32,2,server,1,6, 143.95831732946542, 12.212928207420658, 12.251764964, 18.7430621628, 21.1418367144, 22.0146757766, 23.061141441559993, 23.689191661564013
resnet,none,32,2,server,1,7, 144.68700415491298, 11.950839272605998, 11.892836385, 18.369347864199998, 20.763577469, 21.665367161, 22.663507454919998, 23.145055978788022
resnet,none,32,2,server,1,8, 144.57997504349248, 12.042777889396671, 12.114791809, 18.385290558, 20.820651853, 21.6955033522, 22.70543341967999, 23.171669557436
resnet,none,32,2,server,1,9, 144.9635006508868, 11.75053644115252, 11.809091504, 17.999572065600006, 20.5169412444, 21.479632448599997, 22.449138980319994, 22.930019095008
resnet,none,32,2,server,1,10, 145.5140093715279, 11.555070122022906, 11.640083684, 17.8113723168, 20.1776950132, 21.1750093586, 22.1245625624, 22.61620415099204
resnet,none,32,4,server,1,1, 142.41371706434117, 12.5238686847975, 12.642640647, 18.597073254, 20.6637614054, 22.260487989399998, 23.669301090599994, 24.37683709274002
resnet,none,32,4,server,1,2, 146.46102634291609, 10.949960105150852, 10.809440761, 16.7755616576, 18.9205455034, 20.0226747548, 21.492625031759996, 21.992598274308012
resnet,none,32,4,server,1,3, 146.61559701069874, 11.072640667575426, 11.157532411, 17.0270383154, 19.1162244418, 20.279366104799998, 21.414971974399997, 21.932231827536
resnet,none,32,4,server,1,4, 147.63486219502497, 10.993152999527947, 11.016732351, 16.8297369904, 18.9608546706, 20.001648743, 21.03204257836, 21.46714352078
resnet,none,32,4,server,1,5, 146.59968388871303, 11.136050877165848, 11.14552913, 17.0810160366, 19.379934837, 20.4513551322, 21.49219877536, 22.079893117376027
resnet,none,32,4,server,1,6, 147.0090465390604, 10.816249850441565, 10.727083669, 16.690458803000002, 18.8191015674, 19.844117271, 21.107047198399997, 21.733649755256028
resnet,none,32,4,server,1,7, 146.25203114913836, 11.249600532557517, 11.26631757, 17.2316937084, 19.3653975992, 20.541017034399996, 21.763906332879998, 22.285747856416016
resnet,none,32,4,server,1,8, 146.7527900334351, 11.035176144249645, 11.033363323, 17.061939357200004, 19.2862906254, 20.3600422906, 21.555746253599995, 21.953206732632033
resnet,none,32,4,server,1,9, 147.01899363805558, 10.981298105587756, 11.047823352, 16.765576311200004, 18.8173509336, 19.9535261526, 21.213197434959994, 21.760688647292007
resnet,none,32,4,server,1,10, 145.1887042109679, 11.39927119673211, 11.349124609, 17.385270264800003, 19.680612580200002, 20.8735953574, 22.096407135039996, 22.752947842756004
resnet,none,32,8,server,1,1, 132.0050235745561, 14.936015722893295, 14.978263645, 22.6036118882, 25.402600500600002, 27.533330583599994, 29.385152803839997, 31.015500546184004
resnet,none,32,8,server,1,2, 145.66853599000638, 11.555288702549937, 11.651458213, 17.5670424282, 19.6973399076, 20.8618945136, 22.014519980959975, 22.499451177788007
resnet,none,32,8,server,1,3, 145.30596816287638, 11.1741806121242, 11.18423627, 17.098495421600003, 19.295808042, 20.445300015999997, 21.66674447831999, 22.71158109793603
resnet,none,32,8,server,1,4, 146.36806731304134, 11.112914052067971, 11.30195262, 16.971428992, 18.9907361126, 20.1372790292, 21.509766315799997, 22.11880647192402
resnet,none,32,8,server,1,5, 147.64810265916174, 10.726533956438317, 10.812522107, 16.490437058, 18.553378870400003, 19.6204900652, 20.714807571079998, 21.327030682644015
resnet,none,32,8,server,1,6, 146.82536444963628, 10.839497228874636, 10.743420297, 16.702924222000004, 18.6948510054, 19.8141523094, 21.087347645439998, 21.740903565716
resnet,none,32,8,server,1,7, 146.77663752660203, 11.092897159832402, 11.181521485, 16.9167300892, 18.9721094342, 20.0916892234, 21.2208987198, 21.759724440032006
resnet,none,32,8,server,1,8, 147.28747233110374, 10.856255853129195, 10.910617092, 16.7110056162, 18.787482786400002, 19.887586344199995, 21.05928701288, 21.489374343588004
resnet,none,32,8,server,1,9, 147.28662617880687, 10.921059235624156, 10.888298694, 16.761566916800003, 18.981807589400002, 20.0419090724, 21.064262378959995, 21.658534628124002
resnet,none,32,8,server,1,10, 147.11738286748638, 11.075329346447395, 11.082836196, 17.037470603400003, 18.9972395398, 20.2185939316, 21.403789470679996, 21.706894145368004
resnet,none,32,16,server,1,1, 144.42840430149604, 11.256363940812411, 11.453268092, 16.9057257466, 18.953369003200002, 20.018337701999997, 21.328077481479994, 23.13073799338401
resnet,none,32,16,server,1,2, 144.70340794604883, 11.651851910667222, 11.803363628, 17.7830415192, 20.0056803758, 20.947352711599997, 21.971098519239998, 22.639625048852004
resnet,none,32,16,server,1,3, 145.35710788479255, 11.61193428230829, 11.66049668, 17.618425148400004, 19.822323876, 20.9068896166, 21.980961226999998, 22.526491687676007
resnet,none,32,16,server,1,4, 144.48869202514933, 11.850732412696958, 11.920176514, 18.1064410936, 20.4335907938, 21.4745870572, 22.585909368719992, 23.039728555972008
resnet,none,32,16,server,1,5, 144.49418257370633, 11.411106978689963, 11.476560448, 17.377536351, 19.5441776804, 20.6511330038, 21.856099033319996, 22.80261443218802
resnet,none,32,16,server,1,6, 145.1380895315627, 11.297445218126033, 11.186073605, 17.4553372168, 19.6105266964, 20.671750534799997, 21.8631771246, 22.64319497910003
resnet,none,32,16,server,1,7, 145.80813507704227, 11.04391623002849, 10.93455661, 17.07180348, 19.2089742112, 20.410607614, 21.6053386044, 22.348761796560012
resnet,none,32,16,server,1,8, 143.48677282211014, 11.253071738049563, 10.991839811, 17.530652224800004, 19.7525506658, 21.0693411194, 22.56074699312, 23.474667274820053
