benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,none,32,1,singlestream,1,1, 20.14880736091537, 0.04955345289296875, 0.048318181, 0.0499402148, 0.05142674010000001, 0.05442884124999999, 0.08871324741000003, 0.09312939159600024
resnet,none,32,1,singlestream,1,2, 20.33369565303844, 0.04910385097578125, 0.0478495195, 0.049390004, 0.0508081679, 0.05365589659999999, 0.08949968088, 0.09671003007900125
resnet,none,32,1,singlestream,1,3, 20.36729545913575, 0.0490249328265625, 0.047697707, 0.049442803199999996, 0.050901588500000004, 0.0534854175, 0.08964146767, 0.09272721420900004
resnet,none,32,1,singlestream,1,4, 20.46647144252182, 0.0487844279046875, 0.047453468, 0.049118339, 0.050590017600000016, 0.054006932849999995, 0.08817567752000002, 0.09383126356500006
resnet,none,32,1,singlestream,1,5, 20.46295014354571, 0.04878890432109375, 0.0474909515, 0.0491588152, 0.0510810053, 0.05479926509999999, 0.08400998086000003, 0.09288433219200005
resnet,none,32,1,singlestream,1,6, 20.568575657270177, 0.048538452959375, 0.0472979745, 0.0487832926, 0.05027825930000001, 0.053394078449999965, 0.08706483170000004, 0.09160159789100027
resnet,none,32,1,singlestream,1,7, 20.49841717224023, 0.04870696521953125, 0.047472615999999995, 0.0491616664, 0.050536328500000005, 0.052974552749999994, 0.08906010008000004, 0.09393349276500017
resnet,none,32,1,singlestream,1,8, 20.532500962066145, 0.048622988783593744, 0.047262475, 0.048971755400000004, 0.050394468899999996, 0.05395843689999999, 0.08933114854, 0.09599671502500062
resnet,none,32,1,singlestream,1,9, 20.623565645296818, 0.048407259088281245, 0.0471847395, 0.048789652600000004, 0.0501513456, 0.0527799731, 0.09010035529000002, 0.09437532241900039
resnet,none,32,1,singlestream,1,10, 20.551310092019353, 0.04858390711796875, 0.047260785, 0.0488618694, 0.0504697182, 0.05382513715, 0.08931031422000003, 0.09612089832900049
resnet,none,32,2,singlestream,1,1, 19.104536349451028, 0.05226801347421874, 0.050730005999999994, 0.052823744, 0.0549808444, 0.058979839199999995, 0.08315951034000003, 0.09320744462000075
resnet,none,32,2,singlestream,1,2, 19.363839984007754, 0.05156817734843751, 0.050338359, 0.0521389096, 0.05372291240000002, 0.05754363285, 0.08296864847, 0.08849057309900035
resnet,none,32,2,singlestream,1,3, 19.311721654129045, 0.0517042273109375, 0.050449743500000005, 0.052302843, 0.05412310910000001, 0.0583947988, 0.08480707543, 0.09109040823900012
resnet,none,32,2,singlestream,1,4, 19.21140863808406, 0.051973157501562506, 0.0506342055, 0.0524079596, 0.0543584022, 0.0582023963, 0.08456304496, 0.08784367955000014
resnet,none,32,2,singlestream,1,5, 19.073512735982806, 0.052354365565625005, 0.050872463, 0.053045206000000004, 0.0552482077, 0.06146625165, 0.08395751006000003, 0.09595235922700052
resnet,none,32,2,singlestream,1,6, 19.42940543431444, 0.05139454309453125, 0.0504562095, 0.0523362716, 0.054144553000000005, 0.05731060275, 0.07226675116000002, 0.0892369396750013
resnet,none,32,2,singlestream,1,7, 19.302216582222893, 0.051723726273437506, 0.0505529335, 0.0523372744, 0.054663904900000004, 0.05998082905, 0.07352984503000001, 0.09074409841600144
resnet,none,32,2,singlestream,1,8, 19.132929959571808, 0.0521957422515625, 0.050704825999999995, 0.052910947, 0.055437273200000005, 0.060816662649999985, 0.08366306763000002, 0.0895659855130001
resnet,none,32,2,singlestream,1,9, 19.317534718160537, 0.05168196180546876, 0.050507058, 0.0522707684, 0.05437975330000001, 0.05940222744999999, 0.07515391659000001, 0.08524509461200086
resnet,none,32,2,singlestream,1,10, 19.39306418985698, 0.051487154635156254, 0.0503769345, 0.0521836582, 0.0538339483, 0.058630313999999996, 0.07550531988, 0.08602151431000017
resnet,none,32,4,singlestream,1,1, 15.134047781592171, 0.0659994855328125, 0.065170728, 0.0686064398, 0.071319265, 0.07541240049999999, 0.09188115798000003, 0.11311805279100043
resnet,none,32,4,singlestream,1,2, 15.242862548905117, 0.06553042420859376, 0.0639809565, 0.06699316100000001, 0.06924637030000001, 0.07235307684999999, 0.08785641046000002, 0.09890748489500038
resnet,none,32,4,singlestream,1,3, 15.65079666667137, 0.06382404847890624, 0.06344017599999999, 0.0673328592, 0.06965251959999999, 0.0720843112, 0.08397079097, 0.09292777612000017
resnet,none,32,4,singlestream,1,4, 15.709508825149141, 0.06358302326875001, 0.063354384, 0.0661478048, 0.0675958824, 0.0692896117, 0.08117325994, 0.09042033133500062
resnet,none,32,4,singlestream,1,5, 15.5475619941221, 0.064237368796875, 0.063646428, 0.0673759216, 0.06905679180000002, 0.07191687335, 0.08640808580000006, 0.1016778344530015
resnet,none,32,4,singlestream,1,6, 15.607080458765815, 0.06399900032421875, 0.0631014845, 0.066862772, 0.06909786230000001, 0.07176404304999999, 0.09051727683, 0.09894526660100038
resnet,none,32,4,singlestream,1,7, 15.991190756394369, 0.06245978759453126, 0.0622313765, 0.06473898039999999, 0.0665206361, 0.06817403705, 0.07672019190000004, 0.09190130586600322
resnet,none,32,4,singlestream,1,8, 16.194158139686856, 0.06167181789609375, 0.0615783815, 0.0646454486, 0.0659671062, 0.06734300955, 0.07890524655000003, 0.09106204599100103
resnet,none,32,4,singlestream,1,9, 16.153127938678765, 0.061835163959374995, 0.0619225315, 0.06523839000000001, 0.0664792623, 0.067961436, 0.07947762180000009, 0.09118105496300012
resnet,none,32,4,singlestream,1,10, 16.117031418191136, 0.061968445609375, 0.0625446885, 0.06545334859999999, 0.06670273739999999, 0.0684553325, 0.08360824590000006, 0.09345774030300015
resnet,none,32,8,singlestream,1,1, 11.36107242720993, 0.08794228236171875, 0.085920471, 0.0921941018, 0.0957921017, 0.10074514339999999, 0.11189576301000001, 0.13229150527300104
resnet,none,32,8,singlestream,1,2, 11.456597901609875, 0.0872111822578125, 0.0850037885, 0.0903864316, 0.0932027007, 0.09554388705, 0.10699261446000005, 0.15708442631701108
resnet,none,32,8,singlestream,1,3, 11.556498972472776, 0.08645222547265626, 0.08556205750000001, 0.0892847274, 0.09418202040000001, 0.09677284239999999, 0.10903911887000003, 0.11783675072700012
resnet,none,32,8,singlestream,1,4, 11.601872783324445, 0.0861139459578125, 0.08520844250000001, 0.0890622042, 0.09409792600000001, 0.09712020545, 0.10939240770000008, 0.12059858516000038
resnet,none,32,8,singlestream,1,5, 11.738495648798695, 0.08511347762031249, 0.0850890225, 0.08776901299999999, 0.0905611221, 0.09236726305, 0.10080718306000003, 0.1099540350200003
resnet,none,32,8,singlestream,1,6, 11.585828036020432, 0.086225514328125, 0.0857330255, 0.08985950899999999, 0.0939016683, 0.09844526299999999, 0.11016297126999999, 0.12076148256700005
resnet,none,32,8,singlestream,1,7, 11.593841566199025, 0.08617355056640626, 0.085565795, 0.08989548280000001, 0.092645493, 0.0947776932, 0.10513366747, 0.1153949622500004
resnet,none,32,8,singlestream,1,8, 11.372967023370538, 0.087850004075, 0.08666202149999999, 0.0924465296, 0.09549748620000001, 0.09982564065, 0.1121712094, 0.12051941370500018
resnet,none,32,8,singlestream,1,9, 11.476480223214223, 0.08706300099765625, 0.085861357, 0.0922514978, 0.0945540215, 0.09776284704999999, 0.10887125501000001, 0.1209374064950005
resnet,none,32,8,singlestream,1,10, 11.645683900220655, 0.08578753440390624, 0.085266438, 0.0882054442, 0.0920947163, 0.09662245859999999, 0.10646155226000001, 0.11742287805200101
resnet,none,32,16,singlestream,1,1, 7.388579906771052, 0.13526582057734376, 0.1384320305, 0.1439580156, 0.14747102210000002, 0.15229185199999998, 0.16812671934000004, 0.20210919986600145
resnet,none,32,16,singlestream,1,2, 7.607686343057294, 0.13136989177578123, 0.1288356615, 0.14186817640000002, 0.1446987427, 0.14689921109999998, 0.15356993368000002, 0.1610842665640001
resnet,none,32,16,singlestream,1,3, 7.595433527352966, 0.131580693609375, 0.1286910825, 0.1421534446, 0.1448302042, 0.14800572835, 0.15276289495, 0.163987063767001
resnet,none,32,16,singlestream,1,4, 7.615184213797459, 0.1312432279171875, 0.1279336545, 0.1420701742, 0.14514422170000002, 0.1476113202, 0.15175131365, 0.16453132759700062
resnet,none,32,16,singlestream,1,5, 7.646370273613118, 0.13070487310859374, 0.12771246400000003, 0.1416327928, 0.1444017604, 0.14646689405, 0.15237410429000003, 0.17044166885500017
resnet,none,32,16,singlestream,1,6, 7.630574171368837, 0.13097815098203125, 0.1268337305, 0.1415463438, 0.1443103039, 0.14696608015, 0.15476142581000002, 0.17057082228000145
resnet,none,32,16,singlestream,1,7, 7.6208000904404765, 0.13113191745078123, 0.127852226, 0.1419453104, 0.1446741691, 0.14737944434999997, 0.15349029473000003, 0.1619742471100005
