benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,baseline,32,1,server,1,1, 99.75907389338477, 32.64521112546992, 32.773384518, 51.72149601, 58.1107643342, 61.18749102149999, 63.98020536052, 67.11508929589704
resnet,baseline,32,1,server,1,2, 100.2855740208027, 32.032449887216174, 32.0523708275, 50.999147854, 57.3787465287, 60.628964267549996, 63.208141323570004, 64.60101284741401
resnet,baseline,32,1,server,1,3, 100.40262005004769, 32.0315882693918, 32.069495846500004, 50.898901935800005, 57.3143045351, 60.442311319449985, 63.116354323610004, 65.56518561848402
resnet,baseline,32,1,server,1,4, 100.37596697147009, 32.04993858302922, 32.107914488999995, 50.959694634600005, 57.3682154488, 60.5105967731, 63.214564720969996, 64.65878295919002
resnet,baseline,32,1,server,1,5, 100.57049922322736, 31.916317272864998, 31.936650135500003, 50.78406698260001, 57.199631898999996, 60.26463424505, 62.87337834822, 64.42292374572503
resnet,baseline,32,1,server,1,6, 100.47538624188215, 31.95528869384594, 32.0077736895, 50.85576180640001, 57.296638680200005, 60.350058270999995, 63.092343305250004, 64.18683399538604
resnet,baseline,32,1,server,1,7, 100.36429220612389, 31.994264688153827, 32.0386899825, 50.946399181400004, 57.3924444866, 60.490756409549995, 63.16844691097, 64.11812664317702
resnet,baseline,32,1,server,1,8, 100.82894579545034, 31.778607917559217, 31.8075770655, 50.540307282, 56.9445097122, 59.95286447069999, 62.64195324891, 64.84958811676302
resnet,baseline,32,1,server,1,9, 100.77522118060557, 31.748140099584145, 31.8014473605, 50.554089554200004, 56.9572858618, 60.051958514599995, 62.61472017279, 64.18921968904701
resnet,baseline,32,1,server,1,10, 100.55374119066666, 31.91427213724422, 31.956100270999997, 50.7536978504, 57.1606277216, 60.3620258232, 62.98571482528, 64.50014112202315
