benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,baseline,32,1,multistream,5,1, 121.61248426303104, 6.306997997265, 7.248926008, 7.3842378622, 7.4473433248, 7.501335427399999, 7.612606402130001, 7.7400683290760055
resnet,baseline,32,1,multistream,5,2, 122.69678960907585, 6.193441549841, 7.2213725995, 7.3434527756, 7.414183285700001, 7.464859928699999, 7.55483010169, 7.6333032624840005
resnet,baseline,32,1,multistream,5,3, 122.85137814830448, 6.185119763667999, 7.2211886525, 7.343088724999999, 7.3940345463, 7.434618571049998, 7.506597202510001, 7.558916863771001
resnet,baseline,32,1,multistream,5,4, 122.62220895908993, 6.203574031760999, 7.2478245515, 7.3530829898, 7.4016438649, 7.435168239299999, 7.506934655910001, 7.581163281688001
resnet,baseline,32,1,multistream,5,5, 123.07700794835272, 6.1651412198585, 7.196359053, 7.3205621476000005, 7.3854831479, 7.444757098949999, 7.52778458469, 7.598290325313005
resnet,baseline,32,1,multistream,5,6, 122.78274144036668, 6.173106290111, 7.2121145685, 7.3381024534, 7.3939727492, 7.436713975499999, 7.50881357213, 7.613221256821002
resnet,baseline,32,1,multistream,5,7, 123.09329351057929, 6.1628896875959995, 7.203187166999999, 7.3168576046, 7.3612152276, 7.401938363599999, 7.48601713961, 7.568490811255001
resnet,baseline,32,1,multistream,5,8, 121.77588398485338, 6.2564163977495, 7.2873890800000005, 7.423740841000001, 7.4791680451, 7.520900845949999, 7.615292091850001, 7.680707644637012
resnet,baseline,32,1,multistream,5,9, 122.77966084012067, 6.1888201713490005, 7.2399097900000005, 7.3616188828, 7.4141818306000005, 7.457287985849999, 7.534334188970001, 7.603153017299001
resnet,baseline,32,1,multistream,5,10, 123.16194415073497, 6.154103050871501, 7.196258474, 7.3149971246000005, 7.3717542617, 7.4201391460999995, 7.49397397586, 7.554815356026001
