benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,baseline,32,1,singlestream,1,1, 26.711061406529755, 0.037369977171274035, 0.036764683000000006, 0.0376033944, 0.038416425500000004, 0.040091686849999995, 0.05915240180999996, 0.0695995993230001
resnet,baseline,32,1,singlestream,1,2, 26.445212351286926, 0.037742844322716344, 0.037028285499999994, 0.0379538434, 0.0388151443, 0.04015726645, 0.06344866137999988, 0.07084379160300007
resnet,baseline,32,1,singlestream,1,3, 26.37466492229299, 0.037845657334134614, 0.0371924385, 0.0381378198, 0.0388673322, 0.04013938895, 0.06296483206999968, 0.07224796304600015
resnet,baseline,32,1,singlestream,1,4, 26.585942440024503, 0.037543784260216345, 0.0369483975, 0.037967922, 0.0387007291, 0.039581465399999995, 0.062391688269999974, 0.07081161385100013
resnet,baseline,32,1,singlestream,1,5, 26.67618883571301, 0.03741980734855769, 0.036803749, 0.0378302036, 0.038581215099999996, 0.03978614034999999, 0.06344539218999988, 0.07310973040300013
resnet,baseline,32,1,singlestream,1,6, 26.893906819596065, 0.03711155673016827, 0.036548985, 0.0374501786, 0.0381863173, 0.0391672364, 0.05805284642999998, 0.07056573483600022
resnet,baseline,32,1,singlestream,1,7, 26.82612461149989, 0.03720208457932692, 0.036600953000000006, 0.0375838514, 0.038384315, 0.039604175449999994, 0.06114640256999974, 0.06994057561600002
resnet,baseline,32,1,singlestream,1,8, 26.779595616672054, 0.037273753528846154, 0.036655397, 0.0376586794, 0.0385375242, 0.0398705195, 0.059105243879999964, 0.06759205675500037
resnet,baseline,32,1,singlestream,1,9, 26.859031174423613, 0.03716134371694712, 0.036580105, 0.037473858000000006, 0.0382136919, 0.03927563229999999, 0.06122296370999994, 0.07006490306300027
resnet,baseline,32,1,singlestream,1,10, 26.7390436582051, 0.03732729228725961, 0.0367440085, 0.0377244642, 0.038513959, 0.03957412335, 0.06164471598999999, 0.06948060994000015
