benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,cpumemory,32,1,multistream,5,1, 130.47513415956078, 5.507202965692501, 6.6679487005, 6.9325245062, 7.0429251473, 7.151315303349999, 7.350828985950002, 7.557723679475008
resnet,cpumemory,32,1,multistream,5,2, 129.67166715667193, 5.5659619325695004, 6.750159973500001, 6.974001206400001, 7.0972143458, 7.2092936201999995, 7.43645304249, 7.755790968058006
resnet,cpumemory,32,1,multistream,5,3, 129.48934680770844, 5.5678706989165, 6.758741306499999, 6.9927505415999995, 7.0968218393999996, 7.2039885989, 7.417841547500001, 7.946476942387003
resnet,cpumemory,32,1,multistream,5,4, 130.62352616563035, 5.4691174377555, 6.63627778, 6.903536496, 6.999035311, 7.092434722999999, 7.370505653580003, 7.8404492096830145
resnet,cpumemory,32,1,multistream,5,5, 131.19541716887346, 5.475824514619999, 6.586932040500001, 6.855145028400001, 6.9533541423, 7.063061112899999, 7.26157792643, 7.465062584789035
resnet,cpumemory,32,1,multistream,5,6, 130.69483431239956, 5.5045088774124995, 6.656079393500001, 6.8734790884, 6.9734148409, 7.06138285115, 7.319851167370001, 7.689218597329002
resnet,cpumemory,32,1,multistream,5,7, 131.09272453075403, 5.4524375978510005, 6.6397731, 6.8454603442, 6.9444165367, 7.04817871715, 7.273601719920002, 7.702748465881009
resnet,cpumemory,32,1,multistream,5,8, 131.5066727039134, 5.3892383495965, 6.590887842, 6.866529178, 6.9709007609, 7.054607196799998, 7.281630691710001, 7.533845430363024
resnet,cpumemory,32,1,multistream,5,9, 128.99869428582986, 5.632152858252, 6.7541241685, 6.9841336400000005, 7.0880764391, 7.1790813164, 7.4172041444200065, 7.808458285517002
resnet,cpumemory,32,1,multistream,5,10, 129.4079847812924, 5.636694945934, 6.712351497, 6.93588193, 7.0312165889, 7.15563238635, 7.433106941870001, 7.732942691116015
resnet,cpumemory,32,2,multistream,6,1, 178.39211558044045, 2.8581040991789997, 2.8920088330000002, 4.191943905400004, 4.6444401732, 4.823563118199991, 5.355688373180002, 5.89753764353418
resnet,cpumemory,32,2,multistream,6,2, 178.91036237034484, 2.6985655140175, 2.7071160780000003, 4.051451561000006, 4.444502397100001, 4.651651660449998, 5.129498699030006, 5.5313892564620035
resnet,cpumemory,32,2,multistream,6,3, 179.41654814826566, 2.1270681130845, 2.1302552695, 3.051738869000001, 3.8780132156000002, 4.47778254955, 5.616417344330005, 7.638089761990466
resnet,cpumemory,32,2,multistream,6,4, 179.3832695055597, 2.37499197493, 2.3870421195000002, 3.412681951, 3.9622810907000026, 4.432869408399996, 5.492403477740002, 7.362092429657495
resnet,cpumemory,32,2,multistream,6,5, 180.5022599807022, 2.0146425005745, 2.0245300695, 2.9583876344000037, 3.5819214855000014, 4.0544243469999985, 5.157446888720011, 6.622014510940543
resnet,cpumemory,32,2,multistream,6,6, 180.43130840779426, 1.9775729242455, 1.9452381765000002, 2.8372912876000003, 3.603358438700001, 4.107853104349998, 5.259420804990005, 6.298054337105178
resnet,cpumemory,32,2,multistream,6,7, 180.4677355409058, 1.6717198634335, 1.2819929065, 2.677713614800006, 3.6146812487000006, 4.160791161549995, 5.323585493960011, 8.143731178477111
resnet,cpumemory,32,2,multistream,6,8, 180.37538174188927, 1.604540265888, 1.4923147135, 2.6177091502000036, 3.3406306851000007, 3.8865514581, 5.506276439090007, 7.86244643062447
resnet,cpumemory,32,2,multistream,6,9, 182.3979394092653, 1.2012944294545, 0.8400705715000001, 1.961694691400001, 2.9404288983, 3.466791882899993, 5.011371230980004, 6.224016009469469
resnet,cpumemory,32,2,multistream,6,10, 181.18699833872478, 1.6163554203755002, 1.536354158, 2.476074668000002, 3.222292938400002, 3.8378096192499975, 5.348165455400072, 7.007427896767954
resnet,cpumemory,32,4,multistream,6,1, 180.104045487847, 2.5160557516930004, 2.5504200585000003, 3.7169887898000016, 4.090240211400001, 4.254309467799999, 4.580176409020001, 5.091390959631012
resnet,cpumemory,32,4,multistream,6,2, 180.9912427343637, 2.2621810232670003, 2.2793977805, 3.4179080182000026, 3.772794223200001, 3.948238727149998, 4.350311887840003, 4.8810379473380365
resnet,cpumemory,32,4,multistream,6,3, 181.82792794630336, 1.9913940288745, 1.993632575, 3.1371527180000016, 3.4708618457000004, 3.6578463483, 3.9935448477700013, 4.377542924987014
resnet,cpumemory,32,4,multistream,6,4, 181.47664074047833, 2.1312402128985, 2.1735971015, 3.2863078158000008, 3.6309213092000014, 3.8129225794499972, 4.13976148577, 4.400836679618254
resnet,cpumemory,32,4,multistream,6,5, 180.9311706584559, 2.199066863889, 2.1931539239999998, 3.4093967070000017, 3.754334222500001, 3.951155935499996, 4.401197023680002, 4.818525493899243
resnet,cpumemory,32,4,multistream,6,6, 181.10278528942723, 2.2262739329705, 2.233755918, 3.3716680802000005, 3.7285239268000003, 3.9154517644999998, 4.1855836820600025, 4.607272144948406
resnet,cpumemory,32,4,multistream,6,7, 181.43937549580795, 2.006470660795, 2.0303450375, 3.112258712000001, 3.4431718378000005, 3.629943206499998, 4.08035076383, 4.725091908452235
resnet,cpumemory,32,4,multistream,6,8, 181.19802722310234, 2.0633123866189997, 2.0846427025, 3.222094042200002, 3.5955140161, 3.7653416825499986, 4.21145039633001, 4.665637616677747
resnet,cpumemory,32,4,multistream,6,9, 180.65888268576842, 2.3248431941265, 2.3378718465, 3.5455841472, 3.919087291900001, 4.125341788599998, 4.364490991139999, 4.782542267649198
resnet,cpumemory,32,4,multistream,6,10, 181.32952811985558, 2.140447419859, 2.200680172, 3.2401769646000007, 3.566255211000001, 3.78456906465, 4.17402200183, 4.979189018040058
resnet,cpumemory,32,8,multistream,6,1, 181.02942513396854, 2.3115093245245, 2.2781451925000002, 3.2692189700000016, 3.6268861319000014, 3.8590611951499993, 4.366131301070004, 4.798371003051151
resnet,cpumemory,32,8,multistream,6,2, 180.87923621077272, 2.194184011821, 2.199191053, 3.088015006600003, 3.4149130733, 3.683685489149999, 4.312151105380002, 5.121740420547458
resnet,cpumemory,32,8,multistream,6,3, 180.40530163174856, 2.317292154786, 2.321347787, 3.3232703834000006, 3.658038193100001, 3.925615439949999, 4.552057421640003, 5.166857636951204
