benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,cpumemory,32,1,offline,1,1, 105.96502358756673, 155.1048260859738, 155.219898927, 247.7641902388, 278.3824081777, 293.85109485925, 306.23799944237004, 309.02494567518005
resnet,cpumemory,32,1,offline,2,1, 121.26022454143089, 135.6784632675553, 135.8126328375, 216.5610270318, 243.435463181, 257.007475418, 267.78993909566, 270.091888944
resnet,cpumemory,32,1,offline,4,1, 131.29923965878947, 125.48851705144006, 125.513063399, 200.020811164, 224.959755036, 237.39377885, 247.47587496995996, 249.493477002
resnet,cpumemory,32,1,offline,8,1, 143.49647312238284, 115.59593746009375, 115.64355651599999, 183.864777751, 206.571671574, 217.897397121, 226.90484451804983, 228.292056744
resnet,cpumemory,32,1,offline,1,2, 105.69587825856043, 155.25031639320306, 155.2630065655, 248.3155474378, 279.20460120850004, 294.66710334555, 307.03377016154, 309.796228769641
resnet,cpumemory,32,1,offline,2,2, 120.59382736777228, 136.10854386303967, 135.7915164885, 217.60539354420007, 244.721994038, 258.421674388, 269.22138196131, 271.599865134
resnet,cpumemory,32,1,offline,4,2, 129.63096811128602, 127.01721977247414, 127.3821610105, 202.911453064, 227.949024854, 240.628977393, 250.76958300389998, 252.698894953
resnet,cpumemory,32,1,offline,8,2, 143.44173788862187, 115.3232298986709, 115.539946716, 183.683057671, 206.641976251, 217.972424934, 226.9856444224, 228.396230319
resnet,cpumemory,32,1,offline,1,3, 104.89077465241525, 156.65309874237823, 156.800880224, 250.14995373500003, 281.2479530636, 296.87018478345, 309.38358711353, 312.1824882934801
resnet,cpumemory,32,1,offline,2,3, 119.42753784020921, 137.51019725818054, 137.6277619165, 219.70854741480005, 247.093327231, 260.869509099, 271.79782958366, 274.299510498
resnet,cpumemory,32,1,offline,4,3, 129.5473678924035, 127.15310225822131, 127.0922507445, 203.129664622, 228.196533528, 240.821929715, 250.75929548933, 252.853817294
resnet,cpumemory,32,1,offline,8,3, 143.29173296322972, 115.50658245700586, 115.535589832, 184.090003676, 206.760164597, 218.192332181, 227.31091912131998, 228.626925506
resnet,cpumemory,32,1,offline,1,4, 104.63662076006028, 156.65202763550909, 156.2467023855, 250.8640988956, 282.1144756869, 297.6396065078, 310.13165954504996, 312.956392778889
resnet,cpumemory,32,1,offline,2,4, 118.89680032968991, 138.8509653073261, 139.134475059, 221.08670479800003, 248.413025637, 262.018246183, 273.08347198137, 275.452210031
resnet,cpumemory,32,1,offline,4,4, 129.90801648615226, 126.91875752724182, 126.792089066, 202.493194578, 227.585086941, 240.114658127, 250.16469786037996, 252.141053076
resnet,cpumemory,32,1,offline,8,4, 143.27217610657954, 115.4558847061394, 115.4363432505, 183.937090757, 206.82655035, 218.278991608, 227.31545341050995, 228.66048074
resnet,cpumemory,32,1,offline,1,5, 104.47871869400947, 157.21103219569844, 157.3471690535, 251.68993565720004, 282.6841268882, 298.2306437347, 310.61694968292, 313.38570209814105
resnet,cpumemory,32,1,offline,2,5, 119.22843261249545, 137.79322546624616, 137.8007536915, 220.31223424400002, 247.544606019, 261.366378797, 272.30986326875, 274.705076936
resnet,cpumemory,32,1,offline,4,5, 128.4361264743754, 127.13582602924524, 126.6935376025, 203.551116976, 229.585464265, 242.422095221, 252.99575816618997, 255.052806731
resnet,cpumemory,32,1,offline,8,5, 143.69002401652136, 115.18479846522291, 115.38226611799999, 183.318935704, 206.126172642, 217.464785726, 226.61011125351993, 227.981236721
resnet,cpumemory,32,1,offline,1,6, 104.4470046659182, 157.1489895608822, 157.0154498685, 251.09733584160006, 282.5859333973, 298.2903003391999, 310.71468599131, 313.50743246620306
resnet,cpumemory,32,1,offline,2,6, 118.91759007179867, 137.62212128740566, 137.1507473675, 219.96521879900004, 248.055448423, 261.840418054, 272.97383054227, 275.405798858
resnet,cpumemory,32,1,offline,4,6, 129.95219983575143, 126.6106091199237, 126.6551397695, 201.820575031, 227.143277686, 239.782104664, 250.08030085751994, 252.086098865
resnet,cpumemory,32,1,offline,8,6, 143.78396184757258, 115.07883101233813, 114.9483033695, 183.34395633, 206.162041189, 217.445305169, 226.44721075519988, 227.844858118
resnet,cpumemory,32,1,offline,1,7, 105.211994617897, 156.21881656399324, 155.9248062805, 249.60819401260005, 280.6055068845, 296.0092550424499, 308.43931779375, 311.22002855955606
resnet,cpumemory,32,1,offline,2,7, 120.36469110946929, 136.3592853094308, 136.30160903, 217.80424865020004, 245.154599724, 258.825176397, 269.74345748115996, 272.11872432
resnet,cpumemory,32,1,offline,4,7, 130.32802867476667, 126.1986678280454, 126.1246514035, 201.461836192, 226.697467801, 239.260468155, 249.36241954215998, 251.359123143
resnet,cpumemory,32,1,offline,8,7, 144.01104331695618, 114.9289052156338, 115.132672965, 183.008408937, 205.676984223, 217.259667138, 226.24916556679992, 227.473488432
resnet,cpumemory,32,1,offline,1,8, 104.82681951812658, 156.39476823185808, 156.266018523, 249.94408937100002, 281.20286387489995, 296.87780452165003, 309.55252886535, 312.3622312881381
resnet,cpumemory,32,1,offline,2,8, 119.25230280344933, 137.6563154540821, 137.674646744, 219.95117124700002, 247.487537555, 261.168139145, 272.20984283590997, 274.65714007
resnet,cpumemory,32,1,offline,4,8, 130.48023742563774, 125.98616351728981, 126.05034539900001, 201.151572505, 226.223416554, 238.937620495, 249.08450049550999, 251.06570007
resnet,cpumemory,32,1,offline,8,8, 143.5643439956858, 115.16689204503786, 114.9962315445, 183.757733638, 206.394424267, 217.821159955, 226.9260130797298, 228.194111576
resnet,cpumemory,32,1,offline,1,9, 104.69626062772453, 156.26875745785168, 156.173110453, 250.0427279296, 281.5653173598, 297.30335561094995, 309.90531254278994, 312.763914247331
resnet,cpumemory,32,1,offline,2,9, 119.58747626767854, 137.1687588788127, 136.9711395205, 219.22111965040008, 246.671418215, 260.44427056, 271.46782068671, 273.890923569
resnet,cpumemory,32,1,offline,4,9, 129.39793263367113, 127.28395229561107, 127.3022239955, 203.262911049, 228.469874413, 240.990506569, 251.15912087617997, 253.146004804
resnet,cpumemory,32,1,offline,8,9, 143.68026874034976, 115.15962564593116, 114.9937735325, 183.569198667, 206.233461399, 217.460515475, 226.7153719917499, 227.994821699
resnet,cpumemory,32,1,offline,1,10, 104.66050436855274, 157.3272847521884, 157.90976014749998, 251.0718365998, 282.19643005390003, 297.6599497703, 310.06086926701, 312.852561636903
resnet,cpumemory,32,1,offline,2,10, 119.73020838966238, 137.40136085760145, 137.307358533, 219.46755872960003, 246.724887896, 260.341961804, 271.15842727883, 273.561319317
resnet,cpumemory,32,1,offline,4,10, 129.04577606358788, 128.00672618291688, 128.31432902699999, 204.031475895, 229.001471657, 241.834567039, 251.86171190052983, 253.851094595
resnet,cpumemory,32,1,offline,8,10, 142.72428212195103, 115.81707892095923, 115.678714069, 184.858443576, 207.621143812, 219.183774, 228.28100156927997, 229.541375034
resnet,cpumemory,32,2,offline,1,1, 159.55498757231436, 102.53493823994823, 102.50112996600001, 163.82736604900003, 184.3960658088, 194.64673314804998, 202.8953107329, 204.99887009028203
