benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,cpumemory,32,1,singlestream,1,1, 25.762424276213725, 0.03874953977223558, 0.037628924, 0.0389747374, 0.0401956774, 0.04235225029999999, 0.06581657673999997, 0.09743511746401272
resnet,cpumemory,32,1,singlestream,1,2, 26.234691584036305, 0.03804399280168269, 0.0372515905, 0.038507371, 0.0393993367, 0.04108978854999999, 0.06315934490999969, 0.07081795226700001
resnet,cpumemory,32,1,singlestream,1,3, 26.294463005400427, 0.03796126754867789, 0.0372106965, 0.0383849858, 0.0391185192, 0.04016590214999999, 0.06807896930999995, 0.07208426325700006
resnet,cpumemory,32,1,singlestream,1,4, 26.345647616045706, 0.03789097371153846, 0.0371750265, 0.038155198599999995, 0.0389004488, 0.04003074204999999, 0.06759582916999998, 0.07249400177000026
resnet,cpumemory,32,1,singlestream,1,5, 26.357474139285465, 0.037869709564302884, 0.037013962, 0.0380961426, 0.0390092162, 0.040706178949999984, 0.06946420896, 0.07132185126300017
resnet,cpumemory,32,1,singlestream,1,6, 26.348062879819643, 0.03788115721514423, 0.037065316, 0.0381770238, 0.0390908758, 0.040560147549999995, 0.06461136544999999, 0.07260014541100138
resnet,cpumemory,32,1,singlestream,1,7, 26.17541265487772, 0.03812604647716346, 0.037314032999999996, 0.0385379998, 0.0394887238, 0.040906960549999996, 0.06833527529, 0.07393014894700119
resnet,cpumemory,32,1,singlestream,1,8, 26.45826512607434, 0.037726568236177885, 0.0370644835, 0.0382702088, 0.0390104508, 0.0400520278, 0.060179123729999985, 0.07463175647500082
resnet,cpumemory,32,1,singlestream,1,9, 25.65449102250928, 0.038911496642427885, 0.03713495, 0.0383266246, 0.0391948039, 0.04064270505, 0.06956138869999996, 0.08405440914400678
resnet,cpumemory,32,1,singlestream,1,10, 26.328084836456565, 0.03791433158233173, 0.037105696, 0.0382442362, 0.0390919074, 0.04030019585, 0.06879212875999997, 0.07374039860200085
