benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,none,32,1,multistream,5,1, 131.7476219793648, 5.4389484073505, 6.5844731450000005, 6.836526114800001, 6.9339242779, 7.039860701899999, 7.237967313020002, 7.639549036736023
resnet,none,32,1,multistream,5,2, 131.27559696427687, 5.460030953204, 6.6115605705, 6.8630067532, 6.9617605272, 7.04721664615, 7.281838902990003, 7.737415651811026
resnet,none,32,1,multistream,5,3, 132.13995803137112, 5.392992349655, 6.5743406005, 6.791528239, 6.9007624013, 7.008711827699999, 7.272266724690001, 7.566048362916002
resnet,none,32,1,multistream,5,4, 131.66561111607655, 5.37089424006, 6.5629961649999995, 6.8515459034, 6.9548505701000005, 7.0466475941999995, 7.209966351580003, 7.447679438198003
resnet,none,32,1,multistream,5,5, 131.30084465245992, 5.423286905935501, 6.6397843145, 6.846725058800001, 6.958738702100001, 7.0362649132, 7.285339806620002, 7.5622799070820035
resnet,none,32,1,multistream,5,6, 132.83352193861825, 5.343657431791, 6.5333913055, 6.732596835600001, 6.8306479245, 6.935240704249999, 7.21258199998, 7.423799847253018
resnet,none,32,1,multistream,5,7, 132.11880162467637, 5.3790637920419995, 6.5815237185, 6.7958022624, 6.8955306506000005, 7.0033069586, 7.219991384850005, 7.717806320950018
resnet,none,32,1,multistream,5,8, 132.094130345613, 5.398920377661501, 6.5350506594999995, 6.788835043600001, 6.8854013728, 6.980154854899999, 7.1861328600800025, 7.724117131732002
resnet,none,32,1,multistream,5,9, 132.0000735420637, 5.3455387183975, 6.5854810695, 6.833978759800001, 6.9344951106, 7.0326048453, 7.270056738020001, 7.610270535467003
resnet,none,32,1,multistream,5,10, 132.6231034531693, 5.3290029891095, 6.5208616125, 6.7688280022, 6.865563427900001, 6.963358350499999, 7.184379667570002, 7.479889597622037
resnet,none,32,2,multistream,6,1, 168.89608065769747, 5.067975407886, 5.8503413915, 6.148026428200001, 6.242875584400001, 6.344079346599998, 6.590555492000003, 7.038743943493132
resnet,none,32,2,multistream,6,2, 173.8716475233503, 3.7857039395555003, 3.8937390195, 5.743049566400001, 6.0756948706, 6.199568248099999, 6.39206800289, 6.706530954178095
