benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,none,32,1,offline,1,1, 105.41456944922447, 154.97229884490412, 154.633109586, 248.04835736980004, 279.5245038337, 295.13208729580003, 307.70175353009, 310.603772672176
resnet,none,32,1,offline,2,1, 119.49499579334244, 138.0939023511896, 138.264527708, 219.8419496734, 247.029898811, 260.684059655, 271.6508884347198, 274.100827408
resnet,none,32,1,offline,4,1, 129.74571785011554, 127.3238594224469, 127.4568125065, 202.891303722, 227.941520435, 240.505601619, 250.5298705333699, 252.48053889
resnet,none,32,1,offline,8,1, 142.63370776893564, 116.10855737550683, 115.84257132249999, 184.63570435, 207.640226769, 219.427665026, 228.3953341009599, 229.686833746
resnet,none,32,1,offline,1,2, 104.72195856996791, 156.95467701451943, 157.1234021165, 250.805648059, 281.8992817017, 297.50441588969994, 309.91187364129996, 312.6710422533111
resnet,none,32,1,offline,2,2, 121.6769144188724, 134.88443879852636, 134.7940487425, 215.5678780568, 242.497711591, 256.024286361, 266.80744813874, 269.185813762
resnet,none,32,1,offline,4,2, 130.35343998860165, 126.22130089698132, 126.1264974225, 201.628534613, 226.656789232, 239.23518204, 249.38837933742994, 251.308950138
resnet,none,32,1,offline,8,2, 142.05259592398346, 116.48358896800829, 116.413928455, 185.621327332, 208.727578289, 220.21955878, 229.19814938841998, 230.613016
resnet,none,32,1,offline,1,3, 104.45458446868233, 156.9707304253716, 156.8193016905, 250.93943420440002, 282.2618658887, 298.05553907719997, 310.67378495497, 313.4576196542891
resnet,none,32,1,offline,2,3, 118.90143233074606, 137.68528953416646, 137.697891645, 219.525743333, 247.811158637, 261.814621293, 272.99496851795993, 275.454842754
resnet,none,32,1,offline,4,3, 128.52561229164576, 128.3153037980923, 128.4572579275, 205.059957351, 230.115029654, 242.952769937, 253.06717589297998, 254.895050113
resnet,none,32,1,offline,8,3, 142.5654268751224, 116.37649046695802, 116.781711516, 185.058541947, 208.084069855, 219.491216667, 228.41413489176, 229.775164391
resnet,none,32,1,offline,1,4, 104.92648322116831, 156.36255134622468, 156.448027884, 250.23129131080003, 281.21945635180003, 296.78504550565, 309.26446661131996, 312.05394734493706
resnet,none,32,1,offline,2,4, 118.36554851466275, 138.86658673371232, 138.97135430100002, 221.53483210300004, 249.376984805, 263.457023023, 274.35977029240996, 276.717064357
