benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,none,32,1,singlestream,1,1, 25.813941453884507, 0.03867039852644231, 0.0374079495, 0.0383485716, 0.0390613196, 0.04021552415, 0.06331758149999979, 0.07279253666000053
resnet,none,32,1,singlestream,1,2, 26.332580212503366, 0.03790739829747596, 0.0371818765, 0.0382134206, 0.0390949905, 0.04063505085, 0.06009418129999993, 0.07215595378900014
resnet,none,32,1,singlestream,1,3, 26.46901594701544, 0.037712230391826924, 0.0370448725, 0.038048244599999996, 0.0388315288, 0.0397930076, 0.06486045390999988, 0.07758975378200378
resnet,none,32,1,singlestream,1,4, 26.513720323890713, 0.03764899835817308, 0.0370505825, 0.038021780399999996, 0.038700853, 0.03969004025, 0.06225276456999984, 0.07073074418100005
resnet,none,32,1,singlestream,1,5, 26.53192649063357, 0.037620746002403845, 0.03681839, 0.037800196, 0.0386755794, 0.04112255935, 0.0644128930699999, 0.07330006643900033
resnet,none,32,1,singlestream,1,6, 26.585138868205316, 0.03753640034915865, 0.0368211715, 0.0377706778, 0.0385656781, 0.040220254149999995, 0.06321346485999996, 0.07160943010700005
resnet,none,32,1,singlestream,1,7, 26.599932066014595, 0.03752236179146634, 0.0368217765, 0.037739816600000003, 0.038547531100000004, 0.0398751252, 0.060615880519999984, 0.07182972890900036
resnet,none,32,1,singlestream,1,8, 26.539342671749655, 0.037609877453125, 0.0369136045, 0.0377982224, 0.0385939746, 0.039937647800000003, 0.06253285177999979, 0.0723569549950002
resnet,none,32,1,singlestream,1,9, 26.538943346645986, 0.037609753027043266, 0.036920619, 0.0377668676, 0.038377865399999996, 0.03967484574999999, 0.06624296702, 0.07394000735000053
resnet,none,32,1,singlestream,1,10, 26.604002141487197, 0.037517543484375, 0.036879661, 0.0378808868, 0.038585973800000006, 0.039654006949999994, 0.06460013614999997, 0.07057482012200002
resnet,none,32,2,singlestream,1,1, 25.635012231421307, 0.03893751279146635, 0.0380280445, 0.039169173, 0.0404202402, 0.043304873699999996, 0.058649098329999774, 0.07670896571500564
resnet,none,32,2,singlestream,1,2, 26.160718645543746, 0.03815703864663462, 0.037541199, 0.0387905776, 0.0399221567, 0.04228740275, 0.06009670781999998, 0.06602062288700015
resnet,none,32,2,singlestream,1,3, 26.022345725039887, 0.03835992099459134, 0.0377157005, 0.038928834600000004, 0.0401165033, 0.04226500824999999, 0.06058790618999999, 0.06378412694700003
resnet,none,32,2,singlestream,1,4, 25.911448798557604, 0.03852845041826923, 0.037737467, 0.0390146428, 0.0403867705, 0.04389425634999999, 0.0608707458, 0.06445644916100012
resnet,none,32,2,singlestream,1,5, 25.9941874254487, 0.03839978349759616, 0.0376205565, 0.038718604000000004, 0.0397426584, 0.04190970239999999, 0.06137599740999996, 0.06859410389000122
resnet,none,32,2,singlestream,1,6, 25.800111683196484, 0.038693357823918265, 0.037913788000000004, 0.039170985, 0.0403114345, 0.042921682849999976, 0.06023423653999999, 0.06453259659900042
resnet,none,32,2,singlestream,1,7, 26.224642622024092, 0.03805968122776442, 0.037478716, 0.038726452, 0.0400884053, 0.042506461599999996, 0.05753408448999993, 0.06352943369600043
resnet,none,32,2,singlestream,1,8, 26.078668386775515, 0.038273121077524036, 0.037508563999999994, 0.038814575999999996, 0.039985092199999996, 0.04235276404999999, 0.06076520723, 0.06373603969600015
resnet,none,32,2,singlestream,1,9, 26.80675806728677, 0.03723579273076923, 0.037145003999999995, 0.0383383442, 0.0393431259, 0.0411289825, 0.0562787607399999, 0.06403521738600065
resnet,none,32,2,singlestream,1,10, 26.136593469916544, 0.0381895192109375, 0.0370249475, 0.0382982366, 0.0394237721, 0.040760393799999996, 0.05396656927999999, 0.06317026435600046
resnet,none,32,4,singlestream,1,1, 21.930190639885975, 0.04552797922475961, 0.045383538, 0.047512096399999995, 0.0492203817, 0.05230842249999999, 0.05858851044999998, 0.06864219573700156
resnet,none,32,4,singlestream,1,2, 22.389075143317477, 0.044593884235576926, 0.0441071075, 0.046094296, 0.0474472941, 0.04920483215, 0.05680933132999999, 0.06727322161100112
resnet,none,32,4,singlestream,1,3, 23.41787696063919, 0.04263332307451923, 0.042087895, 0.0441914294, 0.0455685031, 0.047162521549999996, 0.05483960842999999, 0.06312787436200006
resnet,none,32,4,singlestream,1,4, 23.00689006615618, 0.04339640844771635, 0.0427465645, 0.0452695392, 0.0465659028, 0.0479150286, 0.05527214926999993, 0.06269450757500011
resnet,none,32,4,singlestream,1,5, 22.149479572642722, 0.04507724379086539, 0.045160946, 0.0469778192, 0.0482385505, 0.050032056799999995, 0.06168939828999998, 0.06571384515500013
resnet,none,32,4,singlestream,1,6, 21.645963070148113, 0.04612655200180289, 0.045597245, 0.04768824, 0.0495227586, 0.05257433984999997, 0.06248914026999998, 0.06872351881900025
resnet,none,32,4,singlestream,1,7, 21.819122631482305, 0.04575890944350961, 0.0455444685, 0.047415388, 0.049000086500000005, 0.05158161369999997, 0.06086840208, 0.0687709100260011
