benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,baseline,32,1,offline,8,1, 480.2128405607681, 32.83626920200659, 32.88041815, 51.284888804, 57.410006404, 60.434256696, 66.53056276107998, 68.185056186
resnet,baseline,32,1,offline,8,2, 464.0436010908484, 32.56518083755395, 32.459297888500004, 51.058537819, 57.344952502, 60.306309044, 69.02292486780998, 70.555008825
resnet,baseline,32,1,offline,8,3, 440.01847474406145, 32.93298563036133, 32.514327421999994, 51.360204103, 57.728209135, 60.88368804, 72.83438368326, 74.416974148
resnet,baseline,32,1,offline,8,4, 425.3072445745736, 33.347472623117184, 32.85674666, 51.867232025, 58.422567355, 62.88490458, 75.31369487190996, 76.990412612
resnet,baseline,32,1,offline,8,5, 413.2491198499466, 33.5713459431997, 32.959232317499996, 52.16457616, 58.814009842, 64.785066346, 77.45405451486992, 79.230502088
resnet,baseline,32,1,offline,8,6, 409.49816131273786, 33.85956197779639, 33.1431902965, 52.568805993, 59.284539926, 65.338224687, 78.22581370804951, 79.95109267
resnet,baseline,32,1,offline,8,7, 401.9893484471404, 34.04501107748584, 33.2166121935, 52.836009819, 59.810698479, 66.627374447, 79.58302224906942, 81.433781432
resnet,baseline,32,1,offline,8,8, 394.4635864185417, 34.35816052805444, 33.412293098999996, 53.132223256, 61.252694199, 68.013918687, 81.34084492198993, 83.009066105
resnet,baseline,32,1,offline,8,9, 383.1963354329757, 34.878111285646, 33.5818589665, 54.218450414, 62.814294279, 70.089659703, 83.57831011025996, 85.459300992
resnet,baseline,32,1,offline,8,10, 379.4509110027555, 34.92630690713306, 33.4829199065, 54.66563204, 63.269861556, 70.490544746, 84.24446780725968, 86.277625522
