benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,cpumemory,32,1,offline,1,1, 105.406379846105, 155.70868531501912, 155.607901368, 248.9737835422, 279.978882287, 295.50186643934995, 307.88562827503, 310.641908517758
resnet,cpumemory,32,1,offline,2,1,,,,,,,,
resnet,cpumemory,32,1,offline,4,1,,,,,,,,
resnet,cpumemory,32,1,offline,8,1, 143.85388997471458, 115.04111811290602, 114.942023958, 183.1944153, 205.999578755, 217.314403252, 226.39800008601958, 227.738694291
resnet,cpumemory,32,1,offline,16,1,,,,,,,,
resnet,cpumemory,32,1,offline,32,1, 149.089621263289, 115.66059909444043, 115.85652835249999, 180.415054445, 201.977848856, 212.326697836, 219.528730213, 219.740867209
resnet,cpumemory,32,2,offline,1,1, 160.36779545533085, 102.2071421362051, 102.136045856, 163.3697359716, 183.6835610873, 193.835894733, 201.98952121748002, 203.96494260853805
resnet,cpumemory,32,2,offline,2,1,,,,,,,,
resnet,cpumemory,32,2,offline,4,1,,,,,,,,
resnet,cpumemory,32,2,offline,8,1, 187.57386003462537, 88.00971157149218, 88.13096298299999, 140.184971268, 157.614871892, 166.180011295, 173.10753393520994, 174.640317159
resnet,cpumemory,32,2,offline,16,1,,,,,,,,
resnet,cpumemory,32,2,offline,32,1, 186.40137130717494, 91.0389167319795, 91.1717324505, 143.294323222, 160.5664522, 169.15399861, 174.787051534, 175.740281777
resnet,cpumemory,32,4,offline,1,1, 166.39825337455207, 97.86021297983024, 97.760367314, 156.54303580840002, 176.302224641, 186.11572847095, 193.9823000941, 196.2481939964763
resnet,cpumemory,32,4,offline,2,1,,,,,,,,
resnet,cpumemory,32,4,offline,4,1,,,,,,,,
resnet,cpumemory,32,4,offline,8,1, 188.67595533356524, 87.23103887461059, 87.1792257755, 139.053886309, 156.238742183, 164.913170454, 171.77897757941997, 173.485107406
resnet,cpumemory,32,4,offline,16,1,,,,,,,,
resnet,cpumemory,32,4,offline,32,1, 189.337021043379, 89.0436737265713, 88.8814610725, 140.608881543, 157.83616862, 166.398654415, 171.825647217, 172.993064496
resnet,cpumemory,32,8,offline,1,1, 167.11280675159264, 96.94551713305071, 96.82364704849999, 154.9738726088, 174.6052565653, 184.29917185719998, 192.0894500155, 194.88737119247713
resnet,cpumemory,32,8,offline,2,1,,,,,,,,
resnet,cpumemory,32,8,offline,4,1,,,,,,,,
resnet,cpumemory,32,8,offline,8,1, 187.18527436227916, 87.84177470045825, 87.792009285, 139.568251623, 156.728913433, 165.469837167, 172.19595327718997, 174.207821851
resnet,cpumemory,32,8,offline,16,1,,,,,,,,
resnet,cpumemory,32,8,offline,32,1, 188.65109369556572, 131.92997660349803, 131.978587592, 209.202689413, 235.008500128, 247.661673263, 257.320857118, 260.175813304
resnet,cpumemory,32,16,offline,1,1, 180.1770673617625, 89.49081763641662, 89.29930497550001, 143.1125603554, 161.1751026812, 170.14599622064998, 177.27066271842997, 179.67191969793015
resnet,cpumemory,32,16,offline,2,1,,,,,,,,
resnet,cpumemory,32,16,offline,4,1,,,,,,,,
resnet,cpumemory,32,16,offline,8,1, 186.80175284280378, 87.25713827418531, 87.2284707595, 138.993360496, 156.260610098, 164.946797033, 171.65549017230953, 174.19879158
resnet,cpumemory,32,16,offline,16,1,,,,,,,,
resnet,cpumemory,32,16,offline,32,1, 186.88471112139723, 89.7861382294414, 89.82181563399999, 141.44765826, 158.403953273, 167.574344019, 173.476667339, 175.160006176
resnet,cpumemory,32,32,offline,1,1, 178.01767454634754, 90.27161934183633, 90.195130924, 144.5150018998, 162.6299691142, 171.67542556959998, 178.86076248972, 181.20880957966602
resnet,cpumemory,32,32,offline,2,1,,,,,,,,
resnet,cpumemory,32,32,offline,4,1,,,,,,,,
resnet,cpumemory,32,32,offline,8,1, 188.4842248610885, 86.5360772576145, 86.659953621, 137.747465457, 154.716354794, 163.440103023, 170.18834325896, 172.737795674
resnet,cpumemory,32,32,offline,16,1,,,,,,,,
resnet,cpumemory,32,32,offline,32,1, 182.96390025270023, 135.19896896836394, 135.66053729200001, 213.183815215, 239.790538976, 253.782995136, 263.703953935, 268.526010477
