benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,none,32,1,offline,1,1, 106.09320795119285, 154.78658481356018, 154.678676178, 247.3528846202, 278.27400342330003, 293.6438927486, 305.86011918464, 308.63630388219
resnet,none,32,1,offline,2,1,,,,,,,,
resnet,none,32,1,offline,4,1,,,,,,,,
resnet,none,32,1,offline,8,1, 142.5751391689549, 115.98614351066479, 116.0285076635, 184.293762686, 207.631981894, 219.084508525, 228.32621987209976, 229.765121916
resnet,none,32,1,offline,16,1,,,,,,,,
resnet,none,32,1,offline,32,1, 148.49088535607348, 116.01539337536914, 116.37062788, 180.819811857, 202.459958078, 212.993422932, 220.354488251, 220.629498962
resnet,none,32,2,offline,1,1, 149.27586515165007, 110.64648145679217, 110.490096808, 175.77236385300003, 197.4560203134, 208.3051447721, 216.96675593794998, 219.05155840787415
resnet,none,32,2,offline,2,1,,,,,,,,
resnet,none,32,2,offline,4,1,,,,,,,,
resnet,none,32,2,offline,8,1, 182.2710071670596, 90.8988185516162, 91.0258243165, 144.378751096, 162.378121584, 171.255192209, 178.45652310069, 179.674168572
resnet,none,32,2,offline,16,1,,,,,,,,
resnet,none,32,2,offline,32,1, 180.13021315930845, 94.21485123006934, 94.023368704, 148.167555142, 165.919900451, 174.873402153, 180.987683927, 181.849604818
resnet,none,32,4,offline,1,1, 152.22173480499836, 108.82182844307309, 108.90275704199999, 172.23895705040005, 193.3686181569, 203.92378637885, 212.56588383272998, 214.792831275607
resnet,none,32,4,offline,2,1,,,,,,,,
resnet,none,32,4,offline,4,1,,,,,,,,
resnet,none,32,4,offline,8,1, 183.36765175256983, 89.95567165049025, 89.90742594150001, 143.112145719, 161.062043469, 169.981245195, 176.94363804108, 178.352414205
resnet,none,32,4,offline,16,1,,,,,,,,
resnet,none,32,4,offline,32,1, 184.99165199566306, 91.36597262744237, 91.247585601, 144.25880318, 161.640221012, 170.69832142, 176.197161404, 177.036186619
resnet,none,32,8,offline,1,1, 153.6971536589041, 107.52213594613858, 107.45776829, 170.65605792660003, 191.5997144925, 202.31889782390002, 210.66914010012, 212.624676446966
resnet,none,32,8,offline,2,1,,,,,,,,
resnet,none,32,8,offline,4,1,,,,,,,,
resnet,none,32,8,offline,8,1, 182.54532908974372, 90.27235997556593, 90.278999328, 143.72027317, 161.771178734, 170.497339744, 177.69550703271, 179.091397657
resnet,none,32,8,offline,16,1,,,,,,,,
resnet,none,32,8,offline,32,1, 185.18387915221942, 90.90294776709669, 91.0888758885, 143.562446975, 161.179908167, 169.666155054, 175.727160391, 176.826117247
resnet,none,32,16,offline,1,1, 164.13940649860493, 99.7966157054632, 99.87701919, 158.98148204440002, 178.85752972219998, 188.77649233255, 196.73158880267, 198.58497327891902
resnet,none,32,16,offline,2,1,,,,,,,,
resnet,none,32,16,offline,4,1,,,,,,,,
resnet,none,32,16,offline,8,1, 180.56740503475132, 91.14376895500781, 91.2164249935, 145.13641037, 163.170210897, 172.05840205, 179.21774181340973, 180.917499209
resnet,none,32,16,offline,16,1,,,,,,,,
resnet,none,32,16,offline,32,1, 183.0252882309353, 91.86726911820116, 91.858727294, 144.85854527, 162.648202153, 171.379088294, 177.408478758, 178.599310992
resnet,none,32,32,offline,1,1, 176.34913481601126, 91.84253307350568, 91.853295575, 146.7601499502, 165.13813519660002, 174.30067561225, 181.69811797868, 183.84314851878105
resnet,none,32,32,offline,2,1,,,,,,,,
resnet,none,32,32,offline,4,1,,,,,,,,
resnet,none,32,32,offline,8,1, 184.9264812771034, 87.69953592504346, 87.63450126699999, 139.583369097, 156.952195615, 165.551893735, 172.3971094792898, 175.553001299
resnet,none,32,32,offline,16,1,,,,,,,,
resnet,none,32,32,offline,32,1, 179.72804728337792, 92.49300128770702, 92.889984188, 145.690937448, 163.868102588, 172.137014321, 179.044375822, 181.414703454
