benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps
resnet,cpumem,0,1,offline,2,10, 120.07737308052941
resnet,cpumem,0,1,offline,4,10, 129.3201308233883
resnet,cpumem,0,1,offline,8,10, 135.14254308782
resnet,cpumem,0,1,offline,10,10, 117.55222761793361
resnet,cpumem,0,1,offline,16,10, 116.17664866519758
resnet,cpumem,0,1,offline,32,10, 102.60207125118926
resnet,cpumem,0,2,offline,2,10, 146.32264717854096
resnet,cpumem,0,2,offline,4,10, 151.9475486629623
resnet,cpumem,0,2,offline,8,10, 155.79346259868862
resnet,cpumem,0,2,offline,10,10, 159.36900337902892
resnet,cpumem,0,2,offline,16,10, 141.4495411510319
resnet,cpumem,0,2,offline,32,10, 125.18303115255793
resnet,cpumem,0,4,offline,2,10, 149.15822038041642
resnet,cpumem,0,4,offline,4,10, 155.18461972732567
resnet,cpumem,0,4,offline,8,10, 159.1333437996569
resnet,cpumem,0,4,offline,10,10, 160.99354085028781
resnet,cpumem,0,4,offline,16,10, 158.04403807689496
resnet,cpumem,0,4,offline,32,10, 157.38315308005437
resnet,cpumem,0,8,offline,2,10, 148.89793592073644
resnet,cpumem,0,8,offline,4,10, 153.73977842158797
resnet,cpumem,0,8,offline,8,10, 158.236037391663
resnet,cpumem,0,8,offline,10,10, 158.56265663546253
resnet,cpumem,0,8,offline,16,10, 157.0020835910041
resnet,cpumem,0,8,offline,32,10, 156.96888387055688
resnet,cpumem,0,16,offline,2,10, 148.52810496052172
resnet,cpumem,0,16,offline,4,10, 155.6856826944158
resnet,cpumem,0,16,offline,8,10, 156.04687643896548
resnet,cpumem,0,16,offline,10,10, 157.20503531196192
resnet,cpumem,0,16,offline,16,10, 155.4763327012577
resnet,cpumem,0,16,offline,32,10, 155.1038491434874
resnet,cpumem,0,32,offline,2,10, 143.9212705449754
resnet,cpumem,0,32,offline,4,10, 146.13804797357923
resnet,cpumem,0,32,offline,8,10, 144.78230320354564
resnet,cpumem,0,32,offline,10,10, 145.24592586021103
resnet,cpumem,0,32,offline,16,10, 143.67551906441537
resnet,cpumem,0,32,offline,32,10, 141.99429282737313
