benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,cpumem,0,1,offline,2,10, 125.04594512574576, 98.85087936923226, 98.946213539, 157.652361364, 177.14153368249998, 186.936763449, 194.797799973, 196.459645123
resnet,cpumem,0,1,offline,4,10, 130.237429815051, 95.12390290320735, 95.268775911, 151.836947125, 170.43824006, 179.885681118, 187.260677066, 188.650170599
resnet,cpumem,0,1,offline,8,10, 144.5676021746987, 86.08250217660742, 85.9895960125, 136.862827636, 153.918129798, 162.342902133, 169.140127205, 169.958722749
resnet,cpumem,0,1,offline,10,10, 146.1254817077785, 85.46356652009676, 85.555665651, 135.597558124, 153.446128741, 160.237106197, 167.73224796525, 168.153812383
resnet,cpumem,0,1,offline,16,10, 148.4761108674549, 84.80669386108072, 84.855079263, 134.315090869, 150.767307122, 159.142084603, 165.207897078, 165.487220068
resnet,cpumem,0,1,offline,32,10, 150.1193906857444, 86.17148657981902, 86.63149757400001, 135.140976948, 150.686916924, 159.502862437, 163.586576115, 163.663586735
resnet,cpumem,0,2,offline,2,10, 166.11825967732528, 72.86078814071574, 72.227553606, 115.005651905, 133.2738525295, 140.222848065, 145.8356701255, 147.011599402
resnet,cpumem,0,2,offline,4,10, 178.6103676355591, 69.03399996342546, 69.058554087, 110.234070316, 123.91532864, 130.803437893, 136.29208613, 137.541578979
resnet,cpumem,0,2,offline,8,10, 189.5215378609524, 65.7872015115, 65.878405383, 104.504110089, 117.417057423, 123.962501695, 129.114350812, 129.631345753
resnet,cpumem,0,2,offline,10,10, 190.7622356496771, 65.58849664511239, 65.569767245, 104.086977839, 116.954191136, 123.328243998, 128.41419982275, 128.785642489
resnet,cpumem,0,2,offline,16,10, 188.0036580596041, 67.20817813599675, 67.225693467, 106.405904436, 119.261559851, 125.746167395, 130.379343295, 130.684949509
resnet,cpumem,0,2,offline,32,10, 186.35777397328374, 69.50386532764453, 69.19836278849999, 109.209754922, 122.406365791, 128.615692221, 131.72334755, 131.846702961
resnet,cpumem,0,4,offline,2,10, 166.02086095382558, 72.04362102462191, 71.07610357, 113.526006621, 133.0190290855, 140.423384984, 146.00094686475, 147.134966232
resnet,cpumem,0,4,offline,4,10, 177.46513557667444, 69.27094427757113, 69.4439439775, 110.535622091, 124.319072944, 131.08301968, 136.528226277, 138.334227357
resnet,cpumem,0,4,offline,8,10, 189.5268460165684, 65.65447675412338, 65.7185556665, 104.521917696, 117.401528664, 123.86549509, 128.966086813, 129.576691798
resnet,cpumem,0,4,offline,10,10, 190.44304253345507, 65.52849342474805, 65.665797035, 103.883811706, 116.92090414, 123.310674648, 128.308353951, 128.980307382
resnet,cpumem,0,4,offline,16,10, 191.242733565413, 65.92669695502605, 66.0593880385, 104.295870866, 117.094847037, 123.598773642, 128.131851952, 128.465623322
resnet,cpumem,0,4,offline,32,10, 190.57668985030278, 67.49291381785025, 67.0484135975, 106.437139902, 119.082973903, 125.407966561, 128.364971384, 128.929137829
resnet,cpumem,0,8,offline,2,10, 166.28356028467078, 71.06498592714217, 69.8953879125, 111.088700637, 133.020805085, 140.256931104, 145.6993192825, 146.825376709
resnet,cpumem,0,8,offline,4,10, 177.67104440330363, 68.85686318452424, 68.806900883, 109.98397295, 123.757554665, 130.581551932, 136.018537847, 138.072110271
resnet,cpumem,0,8,offline,8,10, 188.35331075080296, 65.75906538524707, 65.8653585825, 104.572094146, 117.517159533, 123.920842916, 129.071898771, 130.218089204
resnet,cpumem,0,8,offline,10,10, 189.9185731625115, 65.45622925597958, 65.447368356, 103.925279854, 116.825939129, 123.279292424, 128.3303026945, 129.245616583
resnet,cpumem,0,8,offline,16,10, 188.97349363677696, 66.27477564844337, 66.2679907765, 105.123368349, 118.256199274, 124.527342659, 129.232094026, 130.000714366
resnet,cpumem,0,8,offline,32,10, 189.8212984308064, 67.4828663701875, 67.67184046, 105.990446335, 119.095353662, 125.387616931, 128.665913178, 129.439523927
resnet,cpumem,0,16,offline,2,10, 164.6450367719153, 69.81164259539104, 68.00781317650001, 108.575753905, 133.8072428405, 141.735378847, 147.16363653525002, 148.46542344
resnet,cpumem,0,16,offline,4,10, 187.036106671757, 65.79990340851221, 65.80440524299999, 104.837368385, 117.976687104, 124.495807308, 129.689047744, 131.049316405
resnet,cpumem,0,16,offline,8,10, 187.04095375064196, 66.11795620482097, 66.08428919400001, 104.981318669, 118.045432696, 124.614416614, 129.671735324, 131.02895749
resnet,cpumem,0,16,offline,10,10, 186.57561993792012, 66.01708175339395, 65.983766727, 104.808026823, 118.019197872, 124.48583634, 129.485499797, 131.341122827
resnet,cpumem,0,16,offline,16,10, 188.08739195779157, 66.13149192093424, 66.218388949, 104.736359617, 117.619403218, 124.117873055, 128.779191164, 130.335994893
resnet,cpumem,0,16,offline,32,10, 186.98125295865438, 68.22848153442447, 68.48951370949999, 107.279293754, 120.170509074, 126.474517901, 130.147913472, 131.391426962
resnet,cpumem,0,32,offline,2,10, 160.31588489318912, 71.72343206360556, 69.32548645099999, 110.430546154, 139.1963932635, 146.326159635, 151.734184987, 153.061818251
resnet,cpumem,0,32,offline,4,10, 184.65398034600653, 66.75868714152328, 66.82281799399999, 106.34544128, 119.661199795, 126.176245133, 131.508532298, 132.634964429
resnet,cpumem,0,32,offline,8,10, 185.62301307243817, 66.8301705888418, 66.69770523599999, 105.985717572, 118.972311117, 125.615466845, 130.709244634, 131.857241362
resnet,cpumem,0,32,offline,10,10, 185.12346145032816, 66.9975070580441, 67.241888501, 106.460579951, 119.41744841, 125.834489007, 131.1474646275, 132.306657303
