benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,cpumemory,0,1,offline,2,10, 124.856638286162, 98.85169230175465, 98.77349056450001, 157.853966135, 177.375718163, 187.24895921, 195.095722928, 196.734073476
resnet,cpumemory,0,1,offline,4,10, 131.70117273121326, 93.4910317079056, 93.3190186175, 149.453061939, 168.184134633, 177.676187046, 185.254629985, 186.537251258
resnet,cpumemory,0,1,offline,8,10, 143.81095114640755, 86.64015580351465, 86.850227207, 137.782564735, 154.646020246, 163.248378271, 170.105768754, 170.851193707
resnet,cpumemory,0,1,offline,10,10, 145.89433803201035, 85.48302569690414, 85.463927403, 135.731260988, 152.683365609, 161.00971075, 167.8072263475, 168.407103719
resnet,cpumemory,0,1,offline,16,10, 147.60627524246905, 85.45456269947788, 85.5538029575, 135.11555688, 151.656329123, 160.088851323, 166.17787461, 166.45597272
resnet,cpumemory,0,1,offline,32,10, 150.23038248548747, 85.96907048540236, 86.918860621, 135.028601735, 150.909315065, 159.345678639, 163.427776416, 163.546570961
resnet,cpumemory,0,2,offline,2,10, 163.26854467882734, 73.45467849234781, 72.6171834605, 115.724235377, 135.267161094, 142.591839316, 148.35423758175, 149.70650779
resnet,cpumemory,0,2,offline,4,10, 177.33650020748166, 69.52383269234163, 69.55560918500001, 111.076335504, 124.844514758, 131.765007521, 137.247967283, 138.519925948
resnet,cpumemory,0,2,offline,8,10, 189.70285382345784, 65.66123192519531, 65.7180777975, 104.44422119, 117.192232255, 123.78234622, 128.996985343, 129.488895163
resnet,cpumemory,0,2,offline,10,10, 190.5705338724593, 65.63016717880525, 65.492801245, 104.346258465, 117.038901809, 123.372232181, 128.49598087425, 128.918712639
resnet,cpumemory,0,2,offline,16,10, 188.37803724091467, 67.15632735108073, 67.340303447, 106.147889567, 119.216664254, 125.602205041, 130.197138378, 130.420680354
resnet,cpumemory,0,2,offline,32,10, 188.11309812021426, 68.8601428986823, 68.6274421585, 108.400746295, 121.266356568, 127.800680537, 130.456492644, 130.616682124
resnet,cpumemory,0,4,offline,2,10, 162.26939561916146, 71.06159950254339, 69.4880800155, 109.969110812, 135.1360672685, 143.604215145, 149.42061439699998, 150.511376966
resnet,cpumemory,0,4,offline,4,10, 179.4096782849294, 68.65393734260351, 68.5597950435, 109.725924889, 123.362027897, 130.1341503, 135.627834282, 136.86655774
resnet,cpumemory,0,4,offline,8,10, 190.8938062818089, 65.21102991684961, 65.19761023199999, 103.665955839, 116.486588669, 122.987718321, 128.036253844, 128.627491375
resnet,cpumemory,0,4,offline,10,10, 191.22750374669067, 65.2214712108164, 65.183999993, 103.606741709, 116.491897451, 122.985366303, 127.986818508, 128.439548094
resnet,cpumemory,0,4,offline,16,10, 190.51104130228396, 66.17798087381185, 66.1205122845, 104.59146543, 117.691221785, 124.033836854, 128.573129505, 128.950614482
resnet,cpumemory,0,4,offline,32,10, 190.7407183236903, 67.69595148965625, 67.5337555815, 106.449831982, 119.295225098, 125.602982975, 128.534256435, 128.810796155
resnet,cpumemory,0,8,offline,2,10, 166.7900610832151, 71.50758618163722, 70.4989889285, 112.292577876, 132.514335491, 139.910005497, 145.37270499225, 146.797171509
resnet,cpumemory,0,8,offline,4,10, 178.5430932079901, 68.9326450791447, 69.0650412475, 109.851544159, 123.523702354, 130.353061964, 135.836657131, 137.488635968
resnet,cpumemory,0,8,offline,8,10, 188.33020932464717, 65.86224050255436, 65.9405376455, 104.777550201, 117.778467993, 124.329848222, 129.384104675, 130.263685634
resnet,cpumemory,0,8,offline,10,10, 189.87789959373262, 65.42400640777026, 65.378368043, 103.88678254, 116.846664665, 123.30695361, 128.4390964985, 129.247894345
resnet,cpumemory,0,8,offline,16,10, 189.23919110997446, 66.20744778743098, 66.38627987199999, 104.846274627, 117.707787374, 123.914990028, 128.629712263, 129.736832151
resnet,cpumemory,0,8,offline,32,10, 189.3099711296239, 67.56562834540364, 67.5453847355, 105.980596678, 119.040733934, 125.381932681, 128.813631192, 129.792251186
resnet,cpumemory,0,16,offline,2,10, 166.02587183079095, 70.70077988443221, 69.3940278435, 110.628934298, 133.5104197865, 140.400363326, 145.82746835825, 147.009738675
resnet,cpumemory,0,16,offline,4,10, 184.41948477040205, 66.60487818668442, 66.6776192825, 106.229457484, 119.303714866, 125.894620369, 131.091477438, 132.926921206
resnet,cpumemory,0,16,offline,8,10, 186.5044796019404, 66.10957834221777, 66.1050510935, 105.205884172, 117.988295692, 124.475750848, 129.681722923, 131.155754629
resnet,cpumemory,0,16,offline,10,10, 187.43118727674974, 65.95778676193905, 65.840911487, 104.875866064, 118.007511269, 124.470945758, 129.474494841, 131.00574505
resnet,cpumemory,0,16,offline,16,10, 186.2841161481128, 66.30966186017578, 66.41103375750001, 104.877182862, 117.944589122, 124.525783242, 129.206462378, 131.75888685
resnet,cpumemory,0,16,offline,32,10, 185.045698923573, 68.48416543160286, 68.82634902000001, 107.678169552, 120.420563409, 127.057256279, 130.983965676, 132.76564181
resnet,cpumemory,0,32,offline,2,10, 164.90118975882547, 71.22122964748348, 69.635296955, 110.985530062, 134.7226242425, 142.281272172, 147.68580654925, 148.848439762
resnet,cpumemory,0,32,offline,4,10, 183.34785447777023, 67.14541255087956, 67.1009543715, 107.071006651, 120.418514436, 127.034382594, 132.305070384, 133.464865604
resnet,cpumemory,0,32,offline,8,10, 185.18580917021887, 66.60288715641765, 66.4810396885, 105.90305415, 118.961762938, 125.70437088, 131.017959117, 131.80740328
resnet,cpumemory,0,32,offline,10,10, 183.46974215082147, 67.15638290053305, 67.411230135, 106.742438485, 119.455754381, 126.105651826, 131.289838253, 132.634118666
resnet,cpumemory,0,32,offline,16,10, 182.89256204423688, 68.08550444068685, 68.58163432399999, 107.790761603, 121.438903257, 127.335164342, 132.639791517, 133.812450651
resnet,cpumemory,0,32,offline,32,10, 179.14402906744883, 71.21775392389453, 71.6992163725, 112.774113939, 124.45723264, 131.398941169, 135.79351209, 137.1443699
