benchmark,k8senv,sbatch,numctn,cscenario,cbatch,reps,qps,mean,p50,p80,p90,p95,p99,p999
resnet,none,0,1,offline,2,10, 124.95490591733711, 98.90252181624503, 98.9078360935, 157.877182898, 177.37858003899998, 187.14326841, 194.94472302, 196.619988512
resnet,none,0,1,offline,4,10, 132.4073425763842, 93.29863151450765, 93.241008064, 148.973172125, 167.60582317, 176.799359453, 184.275410552, 185.552758652
resnet,none,0,1,offline,8,10, 144.3452076711072, 86.20920399462598, 86.158081985, 137.098596942, 154.086144334, 162.588652595, 169.507215927, 170.20622368
resnet,none,0,1,offline,10,10, 146.24707346353745, 85.45601332056707, 85.493713183, 135.818560071, 152.484819932, 160.85724638, 167.47107952275, 168.002854217
resnet,none,0,1,offline,16,10, 146.50794551911324, 86.32544090838736, 86.44785849799999, 136.151243578, 152.907493307, 160.896364703, 167.298838932, 167.713889033
resnet,none,0,1,offline,32,10, 146.42973198739918, 88.17614327273958, 88.7502529445, 137.889168254, 154.814127842, 163.550463742, 167.694973461, 167.790451043
resnet,none,0,2,offline,2,10, 160.28929057281138, 77.74090729177497, 77.6411869865, 123.139580713, 138.2402767385, 145.784050006, 151.86343330225, 153.230959069
resnet,none,0,2,offline,4,10, 170.4872141149497, 72.03331920610172, 71.896146673, 115.380735651, 129.753599337, 136.943155917, 142.753823707, 144.095554525
resnet,none,0,2,offline,8,10, 185.21891343160001, 67.33024961544857, 67.39032646749999, 106.92392742, 120.086484729, 126.828204629, 132.203376591, 132.64164706
resnet,none,0,2,offline,10,10, 185.5880102981317, 67.36539426591446, 67.31256528, 106.99710104, 120.128514232, 126.722654807, 131.82491749625, 132.377541097
resnet,none,0,2,offline,16,10, 182.8133630172614, 69.01383603884635, 69.06904345199999, 109.121311399, 122.614396691, 129.236145294, 133.88407015, 134.396628699
resnet,none,0,2,offline,32,10, 180.96362382437113, 71.52832285397135, 71.33347788200001, 111.710009329, 125.49547263, 132.261867005, 135.348934181, 135.776504042
resnet,none,0,4,offline,2,10, 157.74045668441087, 76.5639705506574, 75.1873613075, 121.582674789, 140.38755695549997, 148.020028256, 153.69210954225002, 155.097818026
resnet,none,0,4,offline,4,10, 169.8477456177469, 72.03893295584261, 71.88118839250001, 115.517317676, 130.072957086, 137.453356118, 143.344116614, 144.564033422
resnet,none,0,4,offline,8,10, 185.40399380834438, 67.19986792523208, 67.10170649450001, 107.021777106, 120.163784603, 126.766780632, 131.990397097, 132.471186482
resnet,none,0,4,offline,10,10, 185.49146095488115, 67.30279600149862, 67.279993111, 106.88532872, 120.0290764, 126.928723262, 131.91944472375, 132.447045534
resnet,none,0,4,offline,16,10, 184.2933737565607, 68.4617770531237, 68.57202566000001, 108.314751911, 121.400100015, 128.19555512, 132.72510876, 133.289968284
resnet,none,0,4,offline,32,10, 185.14999365944456, 69.6560280801289, 69.4374839785, 109.096825893, 122.488623871, 129.057804142, 132.489217013, 132.693533149
resnet,none,0,8,offline,2,10, 159.26160231422776, 76.60070671319131, 75.84310618800001, 121.497955078, 138.4974901775, 145.863361142, 152.204222731, 153.449532191
resnet,none,0,8,offline,4,10, 170.01339253917232, 72.23119781822298, 72.02733726400001, 115.463441968, 130.114095048, 137.277058738, 143.035100683, 144.323951478
resnet,none,0,8,offline,8,10, 183.30004534470078, 67.9831820681979, 68.15472704449999, 107.955901978, 121.191780836, 128.05399234, 133.325212007, 134.010416144
resnet,none,0,8,offline,10,10, 183.58887854987418, 67.72699366978532, 67.722419466, 107.593718049, 120.899357973, 127.584558417, 132.81585161675, 133.790733986
resnet,none,0,8,offline,16,10, 183.3851185931398, 68.31690085401759, 68.4153819765, 108.188524774, 121.570829239, 128.141089385, 133.07386243, 133.890226327
resnet,none,0,8,offline,32,10, 184.77014844947922, 69.28987429230338, 69.5236059645, 108.869404036, 122.113787363, 128.820800048, 132.214845463, 132.97817279
resnet,none,0,16,offline,2,10, 158.63846711523732, 78.62220891374487, 78.9706873435, 124.202878375, 139.189111298, 146.746128547, 152.78131557249998, 154.088368025
resnet,none,0,16,offline,4,10, 173.45227335931716, 71.07261620014519, 71.157595217, 113.285920108, 127.420338039, 134.419807969, 140.105743275, 141.301302118
resnet,none,0,16,offline,8,10, 178.75339041647013, 69.37734043254135, 69.410001945, 110.454687017, 124.096129942, 130.889669536, 136.242079751, 137.080879614
resnet,none,0,16,offline,10,10, 179.7669289788071, 68.90650201390754, 68.732398498, 109.751450462, 123.209407752, 130.088423618, 135.28718431575, 136.384720468
resnet,none,0,16,offline,16,10, 180.8206863415409, 69.40847146901693, 69.4769994635, 110.054832721, 123.586430603, 130.070300414, 135.169718406, 135.845454906
resnet,none,0,16,offline,32,10, 180.8290270283633, 70.76033546652214, 71.06373172549999, 111.372963132, 124.978745066, 131.11663557, 135.187072605, 135.880457976
resnet,none,0,32,offline,2,10, 160.6952565077343, 76.86303881047576, 76.9472637355, 122.179977464, 137.33575557950002, 144.8155056, 150.80186168400002, 152.154233947
resnet,none,0,32,offline,4,10, 166.26730048024857, 74.21554407007503, 74.41308994549999, 118.477254211, 133.110946251, 140.298859085, 146.169972714, 147.548602146
resnet,none,0,32,offline,8,10, 168.20903176357206, 73.47957431305436, 73.4399793905, 116.820510604, 131.495807966, 138.579265513, 144.48417829, 145.69968015
resnet,none,0,32,offline,10,10, 168.64070960990958, 72.9025303022767, 72.845809961, 115.760416171, 130.12385375, 137.473346572, 143.15425044375, 144.645638553
resnet,none,0,32,offline,16,10, 167.3268122270918, 74.47379791862825, 74.95790851449999, 117.763850531, 132.550362166, 139.127895889, 144.901755474, 146.252271757
resnet,none,0,32,offline,32,10, 165.38747317982555, 76.6535409109362, 77.8043449795, 121.02136908, 133.945250127, 141.227879538, 146.504800167, 148.565784721
