Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1665010767,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1665010768,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1665010769,24,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1665010770,30,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1665010771,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1665010772,60,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1665010773,64,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1665010774,70,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1665010775,80,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1665010776,93,,Aggregated,0.000000,0.000000,7300,7400,7500,7500,8000,8000,8000,8000,8000,8000,8000,12,0,7200.0,7214.455027443667,6292.916867882013,8040.670819580555,80252.0
1665010777,100,,Aggregated,0.000000,0.000000,7300,7400,7500,7500,8000,8000,8000,8000,8000,8000,8000,12,0,7200.0,7214.455027443667,6292.916867882013,8040.670819580555,80252.0
1665010778,114,,Aggregated,0.000000,0.000000,7300,7400,7500,7500,8000,8000,8000,8000,8000,8000,8000,12,0,7200.0,7214.455027443667,6292.916867882013,8040.670819580555,80252.0
1665010779,120,,Aggregated,2.100000,0.000000,7400,7500,7800,7800,8000,8400,9000,9000,9000,9000,9000,32,0,7300.0,7297.149575082585,5748.269654810429,9048.039887100458,80252.0
1665010780,134,,Aggregated,2.100000,0.000000,7300,7400,7800,7800,8000,8400,9000,9000,9000,9000,9000,36,0,7200.0,7260.447013812761,5748.269654810429,9048.039887100458,80252.0
1665010781,140,,Aggregated,2.100000,0.000000,7300,7400,7800,7800,8000,8400,9000,9000,9000,9000,9000,36,0,7200.0,7260.447013812761,5748.269654810429,9048.039887100458,80252.0
1665010782,155,,Aggregated,3.800000,0.000000,7400,7600,7900,8000,9000,9900,11000,11000,11000,11000,11000,43,0,7400.0,7488.138997883991,5382.42094963789,11184.30407717824,80252.0
1665010783,167,,Aggregated,3.800000,0.000000,7400,7900,8000,8300,9900,10000,11000,11000,11000,11000,11000,47,0,7400.0,7661.760267979921,5382.42094963789,11184.30407717824,80252.0
1665010784,179,,Aggregated,3.800000,0.000000,7400,7900,8000,8300,9900,10000,11000,11000,11000,11000,11000,47,0,7400.0,7661.760267979921,5382.42094963789,11184.30407717824,80252.0
1665010785,187,,Aggregated,4.900000,0.000000,7600,8100,9000,9500,11000,11000,12000,12000,12000,12000,12000,57,0,7600.0,8021.6810067363995,5382.42094963789,11707.411754876375,80252.0
1665010786,195,,Aggregated,4.900000,0.000000,7600,8300,9200,9800,11000,12000,12000,13000,13000,13000,13000,62,0,7600.0,8183.387846475647,5382.42094963789,13004.469960927963,80252.0
1665010787,204,,Aggregated,4.900000,0.000000,7600,8300,9200,9800,11000,12000,12000,13000,13000,13000,13000,62,0,7600.0,8183.387846475647,5382.42094963789,13004.469960927963,80252.0
1665010788,218,,Aggregated,5.400000,0.000000,7900,9100,9800,10000,12000,13000,14000,15000,15000,15000,15000,71,0,7900.0,8602.933672794574,5382.42094963789,15010.095100849867,80252.0
1665010789,227,,Aggregated,5.400000,0.000000,8100,9600,10000,11000,13000,14000,15000,15000,15000,15000,15000,79,0,8100.0,8948.650122349021,5382.42094963789,15168.819837272167,80252.0
