Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1664999163,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1664999164,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1664999165,20,,Aggregated,0.000000,0.000000,890,1600,1600,1700,1700,1700,1700,1700,1700,1700,1700,14,0,670.0,1085.3805683021035,606.1607301235199,1672.5865937769413,5035.0
1664999166,39,,Aggregated,0.000000,0.000000,670,1600,1600,1600,1700,1700,1700,1700,1700,1700,1700,21,0,670.0,1012.1888159995988,65.64081087708473,1672.5865937769413,5035.0
1664999167,48,,Aggregated,0.000000,0.000000,670,1600,1600,1600,1700,1700,1700,1700,1700,1700,1700,21,0,670.0,1012.1888159995988,65.64081087708473,1672.5865937769413,5035.0
1664999168,57,,Aggregated,1.500000,0.000000,180,210,260,610,850,1600,1700,1700,1700,1700,1700,92,0,170.0,355.39563064989835,65.19211456179619,1672.5865937769413,5035.0
1664999169,69,,Aggregated,1.500000,0.000000,170,200,220,260,660,1600,1700,1700,1700,1700,1700,122,0,170.0,308.39408524945134,65.19211456179619,1672.5865937769413,5035.0
1664999170,80,,Aggregated,1.500000,0.000000,170,200,220,260,660,1600,1700,1700,1700,1700,1700,122,0,170.0,308.39408524945134,65.19211456179619,1672.5865937769413,5035.0
1664999171,88,,Aggregated,26.000000,0.000000,170,190,210,230,300,660,1600,1700,1700,1700,1700,247,0,170.0,235.98725384908167,61.69368326663971,1672.5865937769413,5035.0
1664999172,96,,Aggregated,28.166667,0.000000,170,190,210,230,290,620,1600,1700,1700,1700,1700,304,0,170.0,223.16206224556817,61.69368326663971,1672.5865937769413,5035.0
1664999173,109,,Aggregated,28.166667,0.000000,170,190,210,230,290,620,1600,1700,1700,1700,1700,304,0,170.0,223.16206224556817,61.69368326663971,1672.5865937769413,5035.0
1664999174,113,,Aggregated,37.555556,0.000000,170,210,240,260,330,440,890,1600,1700,1700,1700,446,0,170.0,224.1143756483435,59.02867764234543,1672.5865937769413,5035.0
1664999175,126,,Aggregated,39.666667,0.000000,190,220,260,280,340,420,670,1600,1700,1700,1700,544,0,180.0,228.01209746531265,59.02867764234543,1672.5865937769413,5035.0
1664999176,137,,Aggregated,39.666667,0.000000,190,220,260,280,340,420,670,1600,1700,1700,1700,544,0,180.0,228.01209746531265,59.02867764234543,1672.5865937769413,5035.0
1664999177,148,,Aggregated,58.100000,0.000000,210,270,310,330,390,470,660,1600,1700,1700,1700,719,0,210.0,249.46120591194307,59.02867764234543,1672.5865937769413,5035.0
1664999178,159,,Aggregated,60.100000,0.000000,220,280,320,340,410,490,650,890,1700,1700,1700,838,0,220.0,257.6773438807177,59.02867764234543,1672.5865937769413,5035.0
1664999179,166,,Aggregated,60.100000,0.000000,220,280,320,340,410,490,650,890,1700,1700,1700,838,0,220.0,257.6773438807177,59.02867764234543,1672.5865937769413,5035.0
1664999180,178,,Aggregated,75.400000,0.000000,250,320,350,380,440,540,650,790,1700,1700,1700,1006,0,250.0,279.4789532736447,59.02867764234543,1672.5865937769413,5035.0
1664999181,189,,Aggregated,78.100000,0.000000,280,340,380,400,470,560,660,850,1700,1700,1700,1171,0,280.0,296.461798972828,59.02867764234543,1672.5865937769413,5035.0
1664999182,196,,Aggregated,78.100000,0.000000,280,340,380,400,470,560,660,850,1700,1700,1700,1171,0,280.0,296.461798972828,59.02867764234543,1672.5865937769413,5035.0
1664999183,208,,Aggregated,92.400000,0.000000,300,370,420,450,560,650,790,950,1700,1700,1700,1338,0,300.0,328.64077073509384,59.02867764234543,1672.5865937769413,5035.0
1664999184,219,,Aggregated,95.300000,0.000000,330,400,460,490,600,700,850,980,1700,1700,1700,1501,0,330.0,354.5984539323096,59.02867764234543,1672.5865937769413,5035.0
1664999185,228,,Aggregated,95.300000,0.000000,330,400,460,490,600,700,850,980,1700,1700,1700,1501,0,330.0,354.5984539323096,59.02867764234543,1672.5865937769413,5035.0
1664999186,238,,Aggregated,102.600000,0.000000,350,440,510,560,690,870,1200,1600,1800,1900,1900,1674,0,350.0,400.42254847241844,59.02867764234543,1915.424883365631,5035.0
1664999187,248,,Aggregated,106.100000,0.000000,380,480,560,610,770,970,1400,1600,1900,1900,1900,1845,0,380.0,437.02246092441607,59.02867764234543,1918.833140283823,5035.0
1664999188,259,,Aggregated,106.100000,0.000000,380,480,560,610,770,970,1400,1600,1900,1900,1900,1845,0,380.0,437.02246092441607,59.02867764234543,1918.833140283823,5035.0
1664999189,268,,Aggregated,109.000000,0.000000,400,520,610,670,910,1300,1600,1800,2100,2300,2300,2019,0,400.0,485.19361689834386,59.02867764234543,2259.470444172621,5035.0
1664999190,279,,Aggregated,111.900000,0.000000,420,560,660,720,1000,1400,1800,2000,2300,2400,2400,2191,0,420.0,528.8763646748799,59.02867764234543,2369.9707947671413,5035.0
1664999191,290,,Aggregated,111.900000,0.000000,420,560,660,720,1000,1400,1800,2000,2300,2400,2400,2191,0,420.0,528.8763646748799,59.02867764234543,2369.9707947671413,5035.0
1664999192,298,,Aggregated,109.800000,0.000000,450,590,700,800,1200,1600,1900,2100,3000,3300,3300,2329,0,450.0,573.0561534156355,59.02867764234543,3273.0955071747303,5035.0
1664999193,308,,Aggregated,113.900000,0.000000,480,650,800,940,1400,1700,2000,2300,3300,3500,3500,2543,0,480.0,631.2283996772424,59.02867764234543,3513.617753982544,5035.0
1664999194,317,,Aggregated,113.900000,0.000000,480,650,800,940,1400,1700,2000,2300,3300,3500,3500,2543,0,480.0,631.2283996772424,59.02867764234543,3513.617753982544,5035.0
1664999195,329,,Aggregated,112.000000,0.000000,500,680,860,1000,1500,1800,2300,2600,3300,4500,4500,2713,0,500.0,680.5741259909911,59.02867764234543,4515.678983181715,5035.0
1664999196,338,,Aggregated,114.300000,0.000000,530,720,940,1100,1600,2000,2400,3000,4200,4600,4600,2885,0,530.0,727.1528197868857,59.02867764234543,4552.597738802433,5035.0
1664999197,349,,Aggregated,114.300000,0.000000,530,720,940,1100,1600,2000,2400,3000,4200,4600,4600,2885,0,530.0,727.1528197868857,59.02867764234543,4552.597738802433,5035.0
1664999198,359,,Aggregated,111.000000,0.000000,550,750,990,1200,1700,2100,2900,3100,4600,5000,5000,3014,0,550.0,774.8184339356545,59.02867764234543,5012.6143135130405,5035.0
1664999199,369,,Aggregated,114.100000,0.000000,580,820,1100,1300,1900,2400,3100,3300,4700,5000,5000,3224,0,580.0,836.4227171559764,59.02867764234543,5012.6143135130405,5035.0
