clients,senario,min,max,mean,50,90,95,97,99,99.9
1,ss, 204708830, 10021690192, 9817379070, 10014812608, 10016536870, 10017110717, 10018426709, 10021690192, 10021690192
2,ss, 13670848, 10021760608, 9713577471, 10014897911, 10016487502, 10018625479, 10019739033, 10021760608, 10021760608
3,ss, 13085001, 10021562016, 9422845667, 10014965806, 10016724544, 10019073530, 10020109003, 10021562016, 10021562016
4,ss, 13540733, 10022745835, 8827011620, 10014665716, 10015850271, 10016561817, 10017665452, 10022745835, 10022745835
5,ss, 13147106, 10017575065, 9218685317, 10014535045, 10015680593, 10016221626, 10016335012, 10017575065, 10017575065
6,ss, 13355397, 10034863743, 9322983500, 10014975305, 10016593954, 10016800092, 10016883750, 10034863743, 10034863743
7,ss, 13869404, 10036228457, 9418777729, 10014818244, 10016487060, 10017734273, 10021963747, 10036228457, 10036228457
8,ss, 12594283, 10022437970, 8724701549, 10014587755, 10015803812, 10016841407, 10017292463, 10022437970, 10022437970
9,ss, 12029695, 10021597249, 9321344229, 10014684779, 10015705508, 10015925393, 10016057943, 10021597249, 10021597249
10,ss, 13170100, 10022318343, 9514821498, 10014634140, 10015648281, 10015815779, 10016405541, 10022318343, 10022318343
11,ss, 13786656, 10021494901, 9428035768, 10014792522, 10016191242, 10016641414, 10018161138, 10021494901, 10021494901
12,ss, 13863562, 10020772043, 9218533843, 10014618797, 10015828946, 10016403382, 10016536240, 10020772043, 10020772043
13,ss, 12488016, 10021142444, 9615691994, 10014591232, 10015833843, 10016217751, 10017214665, 10021142444, 10021142444
14,ss, 14977005, 10026255020, 9122678476, 10014881783, 10017010543, 10017326585, 10018333395, 10026255020, 10026255020
15,ss, 14737498, 10025240161, 9521802473, 10014706223, 10016065867, 10016823879, 10018838538, 10025240161, 10025240161
16,ss, 13368204, 10021393225, 9513508475, 10014580346, 10016173911, 10017053472, 10018838737, 10021393225, 10021393225
17,ss, 14678805, 10027518869, 9422910797, 10015031872, 10016630206, 10017317643, 10017960561, 10027518869, 10027518869
18,ss, 12857651, 10023244444, 9316315353, 10014611193, 10016363688, 10016541329, 10016848590, 10023244444, 10023244444
19,ss, 12538256, 10021378347, 9423793481, 10014467352, 10015768394, 10016017750, 10016832495, 10021378347, 10021378347
20,ss, 12749162, 10036770590, 9519926182, 10014733458, 10015948814, 10017816313, 10019699445, 10036770590, 10036770590
