clients,senario,min,max,mean,50,90,95,97,99,99.9
1,ss, 13850060, 10019672610, 9234515433, 10014727939, 10015802402, 10016646420, 10018205114, 10019672610, 10019672610
2,ss, 13549557, 10019942821, 9517966121, 10014592547, 10015947643, 10016234108, 10018303864, 10019942821, 10019942821
3,ss, 14261785, 10021869727, 9039587019, 10015062058, 10016808047, 10017434167, 10018241045, 10021869727, 10021869727
4,ss, 14399026, 10018723982, 9035163337, 10014941936, 10015849522, 10016343683, 10016656734, 10018723982, 10018723982
5,ss, 16106606, 10023051712, 9225929873, 10014744392, 10016021688, 10017083737, 10019530873, 10023051712, 10023051712
6,ss, 14575273, 10023104860, 9024313585, 10014905948, 10016776478, 10017222449, 10018849404, 10023104860, 10023104860
7,ss, 12258120, 10021595427, 9030174074, 10014715938, 10016682530, 10017518847, 10017608014, 10021595427, 10021595427
8,ss, 13383581, 10092156182, 9434735816, 10014758003, 10016183422, 10017174114, 10020622720, 10092156182, 10092156182
9,ss, 15557814, 10018135206, 9233385065, 10014892957, 10015940712, 10016245955, 10016471087, 10018135206, 10018135206
10,ss, 12892503, 10019707193, 8625734851, 10014625216, 10015899740, 10016303273, 10016316799, 10019707193, 10019707193
11,ss, 14866081, 10019036420, 9232032480, 10014738944, 10016024209, 10016884686, 10018120422, 10019036420, 10019036420
12,ss, 13614623, 10020635394, 9033561399, 10014735023, 10016149570, 10017252705, 10018125046, 10020635394, 10020635394
13,ss, 92579960, 10021640190, 9425672054, 10014827115, 10015801536, 10016581399, 10018255962, 10021640190, 10021640190
14,ss, 12876836, 10022992611, 9136803799, 10014947277, 10016332559, 10017578309, 10018414525, 10022992611, 10022992611
15,ss, 13920772, 10022444302, 9131598102, 10014698138, 10015703023, 10016522220, 10020577279, 10022444302, 10022444302
16,ss, 14770673, 10016974400, 9139718386, 10015086122, 10016084179, 10016452428, 10016885687, 10016974400, 10016974400
17,ss, 14535325, 10017384243, 9122115547, 10014843096, 10016060493, 10016296777, 10016555882, 10017384243, 10017384243
18,ss, 13743219, 10023540003, 9524967785, 10014887901, 10015803959, 10016149190, 10016467996, 10023540003, 10023540003
19,ss, 13658659, 10023437314, 9323892739, 10014771373, 10016152206, 10018258776, 10018757304, 10023437314, 10023437314
20,ss, 14330040, 10017766429, 9231457711, 10014873669, 10016263218, 10016736328, 10017152808, 10017766429, 10017766429
