clients,senario,min,max,mean,50,90,95,97,99,99.9
1,ss, 20078528, 10056497853, 8931217337, 10011623642, 10016595870, 10021551916, 10026051898, 10056497853, 10056497853
2,ss, 29842699, 10027051386, 9233274513, 10014362868, 10017460921, 10019673221, 10021632885, 10027051386, 10027051386
3,ss, 163344928, 10057317892, 9133333977, 10014505696, 10017590706, 10021066616, 10024607372, 10057317892, 10057317892
4,ss, 178041463, 10059364435, 9133392795, 10014013622, 10017469321, 10019740015, 10022311320, 10059364435, 10059364435
5,ss, 22903234, 10047407870, 8732895935, 10014583367, 10017315795, 10018887376, 10019520941, 10047407870, 10047407870
6,ss, 27176257, 10055961070, 9032752697, 10014099272, 10016783345, 10017669059, 10018087994, 10055961070, 10055961070
7,ss, 160096233, 10029396636, 9233694283, 10013478938, 10016840224, 10017493564, 10018376327, 10029396636, 10029396636
8,ss, 99795352, 10024541159, 8833148009, 10014266770, 10016550578, 10018601786, 10019035591, 10024541159, 10024541159
9,ss, 45147655, 10042108263, 9234292547, 10014649267, 10017814901, 10021327309, 10028718553, 10042108263, 10042108263
10,ss, 26382600, 10027720041, 9136779308, 10014564718, 10016860960, 10018083463, 10019181448, 10027720041, 10027720041
11,ss, 16396418, 10051605339, 9433616621, 10014884011, 10016928535, 10028070037, 10041751286, 10051605339, 10051605339
12,ss, 164729899, 10056638110, 9233417140, 10014537052, 10016985752, 10019751922, 10027331316, 10056638110, 10056638110
13,ss, 17547353, 10055292926, 9033242713, 10014752037, 10017477632, 10018878558, 10019665611, 10055292926, 10055292926
14,ss, 21553798, 10024576317, 9133937559, 10014427742, 10016196524, 10016992055, 10020018420, 10024576317, 10024576317
15,ss, 159685495, 10076397833, 9233646283, 10015240388, 10019323424, 10020396149, 10032219569, 10076397833, 10076397833
16,ss, 13904233, 10034510566, 9033531096, 10014291776, 10016506399, 10020706872, 10027417657, 10034510566, 10034510566
17,ss, 116788821, 10066800048, 9031223734, 10014175072, 10016507180, 10017879194, 10023646306, 10066800048, 10066800048
18,ss, 162140396, 10064946585, 9133512509, 10013652325, 10016360722, 10019614428, 10039086063, 10064946585, 10064946585
19,ss, 20642366, 10065031636, 9334212005, 10015009352, 10017841702, 10021594330, 10047952755, 10065031636, 10065031636
20,ss, 133189529, 10065953853, 9133669751, 10014315111, 10017004360, 10026777521, 10027737667, 10065953853, 10065953853
